Stock_Ticker,Decision_Date,CAR,CAR/Sigma,Bootstrap
MSFT,"July 11, 2016",0.003212948231893,0.18315263411099578,0.60476
MSFT,"February 17, 2016",0.0036017609496399993,0.19681443340898017,0.67637
NVDA,"April 25, 2016",0.00262149340513,0.09880758080054369,0.58768
HPE,"March 14, 2017",0.00688928989575,0.3703694138597866,0.66804
MMM,"July 9, 2015",-0.00159836991574,-0.17139673600908356,0.43028
ADBE,"March 14, 2016",0.00983882268585,0.6124157091843713,0.76616
CBS,"February 1, 2016",0.0026438825751300002,0.16211713401037073,0.59062
ATHN,"April 12, 2017",-0.02789638774445,-0.8408652455323765,0.11074
AET,"January 18, 2017",0.01528742972683,1.0117162423902064,0.86444
XLNX,"February 1, 2016",-0.016598200486810002,-1.0485900761838,0.13382
AMZN,"December 17, 2015",0.01369987539279,0.5100469220378028,0.87315
EBAY,"March 19, 2013",0.036940724899300004,1.784457934392433,0.95231
OSTK,"May 10, 2013",0.02160645555376,0.5274544916368864,0.81276
DD,"May 9, 2014",-0.01068524104401,-0.9308815067507646,0.14884
HPQ,"April 25, 2016",0.013794454988075,0.4705324082512982,0.73707
TGT,"February 10, 2016",-0.015297567915414,-0.9135973663880204,0.12516
LLY,"July 1, 2014",0.0018484963970870003,0.1336628378008973,0.59295
JBLU,"June 24, 2014",0.01914847598747,0.7916549143957472,0.80616
NOK,"November 26, 2014",0.01447333327643,0.5946572630268041,0.77502
TRIP,"May 17, 2016",0.000987995769399997,0.02503061724829819,0.54167
HPQ,"May 10, 2013",0.0054398066173400005,0.16114222209494297,0.56876
TDA,"May 6, 2015",-0.01522724781247,-1.937674630698524,0.03044
HPQ,"November 14, 2014",0.0252624073035,1.4459355554947921,0.92263
SPPI,"October 2, 2015",0.0164208506587,0.4822647265939863,0.74184
CDW,"June 30, 2015",-0.00916871664523,-0.6200042840256834,0.23942
AAPL,"August 16, 2016",0.0039916833969200005,0.2126816486650727,0.57393
AVID,"March 1, 2016",-0.0337890195717,-0.5553721340665042,0.14426
V,"February 9, 2016",0.03544593940251,2.581733070228137,0.97962
FB,"July 16, 2014",0.001118310332664,0.032640464600477495,0.52926
NUVA,"May 10, 2017",0.0001746514324400001,0.00903923866166951,0.49024
CSCO,"April 7, 2017",-0.002109374965074,-0.19813318218722592,0.34268
ZNGA,"March 17, 2015",0.015487998024999998,0.4252344831913886,0.70611
BMY,"January 13, 2016",0.008507202209400001,0.45542074406983796,0.73666
GILD,"December 8, 2014",0.020295795096199998,0.8908115191893685,0.82554
AMZN,"February 10, 2017",0.00575690073652,0.310555239437875,0.67797
BBY,"January 15, 2014",-0.33712559877142,-10.146689514318174,0.0
ACTG,"December 3, 2013",-0.1083813060992,-2.3206161235344505,0.01936
AAPL,"December 11, 2014",-0.014385957195799999,-0.7771412462636648,0.12539
BMY,"June 12, 2014",0.007963431761828,0.4640169552391011,0.73787
MSFT,"April 7, 2017",-0.0034901181006054,-0.3009442648716056,0.36788
HPQ,"April 5, 2016",0.016830443353232,0.5915313895012421,0.79473
PANW,"May 4, 2017",0.021148014539857003,0.7733405729046188,0.82889
TWTR,"February 17, 2017",-0.0023302699268000007,-0.04221772059765985,0.43916
