Stock_Ticker,Decision_Date,Category,"SM_[-60,-30)_[-20,5)_NBS"
MSFT,"April 8, 2009",TJ|T100|TVA|TVJ|TV100,0.030087189016|-0.0463718995924|-0.0301513374571|-0.021944466061|0.0074558573981|-0.0199956713777|0.0226457116319|0.0167413165493|-0.00037146032313|-0.00231660756413|-0.0143396445314|0.030248546265|-0.0198733132099|-0.00104403155079|0.0394205375959|0.0294076765921|-0.0314558265269|-0.0393313871082|0.00788597591708|0.0235591837845|0.0108792523207|-0.0161720544738|-0.00506015990382|0.00483930654892|-0.0389137130896@0.0260059597548
AAPL,"February 24, 2015",TJ|T100|TVA|TVJ|TV100,-0.00036317214865|-0.0148777279806|0.0752288442986|0.0194852570802|0.00513453440504|-0.00311831445596|-0.0183306214947|0.014959225527|-0.00525923902273|-0.00262365324756|0.0148919872052|0.00587303847608|0.0242429698102|0.000874090871593|0.000953411939383|0.00554997352479|0.00870173545232|0.000813139026938|0.00154044042538|0.0287685441085|-0.00839150144979|-0.0227991241791|0.0161545098055|-0.00839634640667|-0.00215047271498@0.00922521946997
STI,"March 26, 2010",TJ|T100,0.00665923360073|-0.0203697135734|0.0256016442783|-0.0169115559968|0.00159350417256|0.011276581025|0.0176438813584|0.000980051122979|0.0166436676669|0.013660008471|-0.0133245728757|-0.000474695539923|0.00302197356428|0.0158650100916|-0.0302981003893|-0.0084494798153|-0.0125992492805|-0.0187518521757|0.0131283927256|-0.029460228505|-0.00726664788035|-0.0161195860084|-0.00563404430635|0.0145183127225|0.00327106393516@0.0246194962359
TECD,"November 19, 2008",TJ|T100|TVA|TVJ|TV100,0.00263875868573|-0.0312213361346|0.0298225238532|-0.0136992755905|0.00729457494416|-0.00273673273332|0.0125582663242|0.0338077915868|0.017257147367|0.0182451567366|0.0134779566933|0.00268627816632|0.0204855849168|-0.0328879997475|-0.00291748434635|-0.0343214524888|0.0239992095905|-0.00592097148424|-0.0185353854993|-0.0069246039838|-0.0269477843106|-0.0534391933763|-0.0633454152939|0.0503321037506|0.0121811610364@0.0170431464705
EXTR,"May 30, 2008",TJ|T100|TVBF|TVJ|TV100,0.000862161964875|0.0134486338931|-0.005299112244|-0.0176417132427|0.00649972060106|0.00553988257165|-0.00165799976156|0.00921511258012|0.0188908742616|-0.0340217878389|0.0455663854509|0.09299118762|-0.0934140107091|0.0345641108327|0.0154566579963|0.017533184015|-0.0115314034327|-0.00381793854402|-0.028528431202|-0.00465584410356|-0.00543641020305|0.0032025388196|-0.0103599135439|-0.0122843664461|0.00702714662134@0.017886070283
SNPS,"October 10, 2014",TJ|T100,-0.0034851306586|-0.00862018605166|-0.00740122954482|-0.00820252131141|0.00471760630251|-0.00457938684911|-0.00403857813803|-0.0095531237436|0.00504205014288|0.00339739898996|-0.00726801550209|-0.00156540820731|-0.00457121368089|0.0073189926814|-0.0029547837051|-0.00683477467511|0.00259115731342|0.00126152022052|0.00475071051922|-0.00708288343848|-0.0386153158695|0.0189055283398|-0.00597596023585|0.0107284069976|-0.00530241946662@0.0125568405548
MSFT,"March 16, 2010",TJ|T100|TVA|TVJ|TV100,0.000975167785127|0.00337066884508|0.00671144305034|-0.00867964088816|-0.000787383808838|0.00202501615332|-4.11535885166e-05|0.00146682411793|0.0024853544819|9.54367180573e-05|-0.0221036745696|-0.00028128698565|0.00301836006985|-0.018244615045|0.00200807902898|0.00467913413249|0.00117691986475|0.00286179807875|0.00379938872491|0.00118784302336|-0.00632597354178|0.00228105037206|0.000791329167723|0.00647232775581|-0.00547448484861@0.00928715235172
SATS,"May 26, 2017",TJ|T100,ERROR
DD,"August 1, 2012",TJ|T100,-0.00389022861871|0.00668876748216|-0.00205476096644|-0.0273418889698|0.0151891228228|-0.0101210175331|0.00051861441396|-0.00277632522465|0.00241207099297|0.00881298993779|0.00362160586501|0.00336480314213|0.00519664866417|0.00982337873392|-0.00887192248788|0.00930829206642|-0.00636855581969|-0.00216278651676|1.50153256268e-05|0.00990634751821|0.0066913098038|-0.00940108618707|-0.013776159481|0.0123322785571|-0.00124452176051@0.00470573042802
CHKP,"February 6, 2015",TJ|T100,0.00991925917368|0.00492073561665|0.00540741876476|-0.0146390861647|0.00523091109863|-0.00317279132284|0.0115253102358|-0.010851262139|0.000691886922491|-0.020860981247|0.00330949401956|-0.00367702406812|-0.00242108591584|-0.0191473355859|0.00992922010349|-0.00941413179531|-0.0193197874318|-0.000274983348799|-0.00618782391514|-0.00375061441316|-0.006317669616|-0.0055009845483|0.000970882756494|0.000840107888479|0.00453303397485@0.00606486819838
VLO,"November 25, 2013",TJ|T100,-0.000683693711233|0.0136900150596|0.0363151516001|-0.00145932727654|-0.00602624853409|0.0100922741903|0.00209863580717|-0.0345055299884|-0.00798924489086|0.011089835041|0.0005117796714|0.0208482866835|-0.00323385227822|0.0330812533936|-0.00049533121591|0.00328557272394|-0.0100457432712|-0.00074395622043|0.00152396222482|0.0312438799128|0.0178639711526|-0.00454144944097|0.033933053606|-0.00369993639174|0.0280548571539@0.0138106760841
USB,"November 25, 2013",TJ|T100,-0.00309416719571|-0.00246449441304|0.00232107133116|-0.00824014386241|-0.00163109596552|0.00171239624628|0.00613996805792|0.00248563229433|-0.001381201395|0.00517064167215|-0.00375403315144|-0.00327670703403|0.000607157638762|0.00278134637572|-0.002726854761|0.00348024370951|0.0104346953038|0.00471834319215|-0.00346314935733|-0.00173139531331|0.00754255455481|0.00136978871318|9.88077808895e-05|-0.00269422266808|0.00195665143404@0.0067350191139
GILD,"January 26, 2017",TJ|T100|TVA|TVJ|TV100,0.00194735672797|0.00371680040459|-0.00407398292611|0.00266136339066|0.028034463611|0.025063404457|0.000758362399047|-0.00777197241837|0.0139913664376|-0.00657718982709|-0.0164572938862|0.00260743063381|-0.0029583773433|-0.00630320153388|0.00418450813499|0.00217672678336|-0.0089057521012|0.00380223824124|-0.0113628134865|0.0149095657196|-0.00365212972774|0.00733532156554|0.0172212183591|0.0176177599453|0.00893058293915@0.0125203161804
EBAY,"January 16, 2015",TJ|T100,-0.0119637675015|-0.00568487717768|-0.011957107206|-0.00217898207067|-0.00400230687232|-0.00327759854054|-0.00517935395129|-0.00242558554732|0.00780149333904|-0.0103418737111|0.00123091722065|0.00892835107706|-0.00444115103222|-0.014933470601|0.00808286101352|-0.00678188358584|-0.000799225588895|0.000641688917612|-0.0150039461293|-0.0105707582014|-0.00194285600701|-0.00266585503044|-0.011549019518|0.0525684982999|-0.0022546209208@0.00655240921698
IBM,"February 23, 2011",TJ|T100|TVA|TVJ|TV100,0.0120147266103|-0.00443758173269|-0.000634878730782|0.00386851338162|0.0124724139562|-0.00213128188234|0.00114315248852|0.000784965025701|0.00175634759652|0.00110672997389|0.00888342152071|-0.00544742117067|-0.00253440881103|-0.0051166283464|-0.00462168204662|0.00140866281385|-0.000498670258526|0.00388486304919|0.00313506631333|-4.75780760523e-05|-0.00480582719886|0.00541490038118|0.00189264674359|-0.00630338396383|0.00296165841995@0.00524787772473
MGI,"September 24, 2009",TJ|T100|TVA|TVJ|TV100,0.0163740107319|-0.00468070478116|-0.030289416513|-0.0190717793143|-0.0211087548203|-0.0280207932143|0.00752238483734|0.040906356738|0.0614392721092|0.0914554789502|-0.0129053873778|-0.00192165825221|-0.0240987581358|-0.00474411932799|-0.0164713793291|-0.0123690232919|-0.00609985421634|-0.0203709316768|-0.0225393941817|-0.0162298575885|-0.043180719772|-0.0361063315309|0.0422497451118|0.0344039603882|-0.00315149711158@0.067284752936
LLNW,"February 29, 2008",TJ|T100|TVA|TVJ|TV100,-0.0187509655206|-0.0711278486864|-0.0718161744875|0.117195433917|0.0924956802479|0.0411538499598|-0.00169297680202|0.0326728549364|-0.0139095533668|0.0729123289416|0.0132017229184|-0.0195202191871|-0.0401717575768|-0.106838051867|-0.0118923742658|-0.0560027108012|-0.00854098745423|0.0519256469929|0.0228143382847|-0.0615926170067|-0.271100301997|-0.129880661453|0.0826789063551|-0.0403392234458|-0.0411269154393@0.0419885668638
BONT,"April 3, 2014",TJ|T100,0.0773269261496|0.02250474616|-0.0150743884616|-0.0775954294096|0.086227662564|0.00517715086982|0.00843022672936|0.0363119797881|0.0122896771697|0.0235860640267|0.0358087122629|0.047768726498|0.10244857229|-0.0406486414115|-0.00110385847237|0.0185639357399|0.0278141870182|0.00622493934837|0.0236210672387|0.0133798806441|0.0094631954157|0.0294262506782|0.00237288271817|0.0123364527457|-0.00374945563556@0.0306382298854
