Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
DUK,"December 21, 2016",TB|T100,-0.00215918617923|0.00022510718517|0.00673579988818|0.0251717872472|0.000865768483201|-0.0252717835698|-0.00657891343367|0.0101398630297|0.00631738379107|0.00569911894577|-0.00397197150279|0.0100224673843|0.00910626265516|0.00506071562123|0.000738621264033|-0.017139922939|0.0074965126041|0.00989959734598|0.00884468227771|0.00589129523095|-0.0027766541434|0.00928986543988|0.000198335066856|-0.000907141464084|0.00260293112128@0.00859517550481
MON,"November 13, 2009",TB|TVBF|TVB,-0.0138280812503|-0.00658610800171|-0.015418063672|-0.00346115679733|0.00496340919175|0.00570010206477|-0.0518536108182|0.0083713777044|-0.00206241210434|-0.0266860510768|-0.0122130187263|0.00316650267092|0.00718283268399|0.00309691999448|0.00204427672317|-0.00935584827224|-0.00717650123859|0.0470773511564|0.018747283255|-0.00278908098653|-0.0114735961346|0.0172678323371|0.0296451125089|0.0372259699229|0.00498461894@0.0136901614742
DISH,"March 4, 2011",TB|T100,-0.00118661658686|-0.00326949439531|0.00293848619353|-0.0266744796855|0.0232533641978|0.0586276162657|-0.0107140455434|-0.0141367723522|0.00635797728505|-0.0126252055386|0.00649332127083|-0.00517121263176|-0.0129260771912|-0.00331983058437|-0.00696352689226|0.0312579617099|-0.0220538973362|-0.00434908312036|0.00428498822209|0.018679055236|-0.000436326179226|-0.00784776498695|0.00570105298151|0.00310552183385|-0.00940937567994@0.0143955576036
MSFT,"September 6, 2016",TB|T100,0.00566055078214|-0.00221235211577|-0.00176263803135|-0.0038957833984|-0.0082788105128|-4.18675357377e-06|0.00596728193256|0.00042229749791|-0.0019498118701|-0.000421222242198|-0.00320016526312|-0.00125216419738|0.0107853899901|0.00758421265381|-0.00257885289164|-0.00480171349021|-0.000440649469064|-0.00457774282181|-0.00351501123184|-0.00439310432249|-0.0105593890218|-0.00116267134591|0.00187856721129|0.0150863950021|-0.0108394387705@0.0108731969586
AMZN,"June 16, 2010",TB|TVBF|TVB,-0.00873440315313|-0.00630125334011|-0.00871902794806|0.0134253124413|0.00348098782524|0.0226357420377|-0.014866518161|-0.000334623993081|-0.00114998209772|0.00138373321175|0.0058995977439|0.0137631486545|-0.0187022349191|0.00949822920862|-0.0276738694791|-0.00723726805765|0.021454492984|-0.00891649317867|0.00437577020235|0.00633276843025|0.0023887353311|-0.00704915969921|-0.00196152530702|-0.0216550363061|0.0112507809899@0.0225933311975
MSFT,"December 15, 2010",TB|T100,0.00925374337637|-0.0101787984308|-0.00907267479205|-0.00964919647503|0.000240956945977|-0.00640950887729|-0.00772485630394|0.00324285844146|0.00560522112673|0.00467733756343|0.00392953277378|0.0183639890751|0.0018666142745|-0.00422677831348|0.000994026150198|0.0101511939375|-0.00831174237641|0.00346572355812|-0.00366244478549|0.0118795664813|0.0130852836919|-0.00275229002495|-0.00496104829198|-0.0048261036264|0.00461232010296@0.00978722304357
SWIR,"December 21, 2015",TB|T100,0.0113025199519|0.000567168682094|0.0481386266049|0.00171426172037|-0.0244930359181|-0.0103420974593|-0.0244834690872|0.0108989299162|0.0198434903043|-0.000597919729754|-0.00331323485|-0.0260807858927|-0.00694831616047|0.00200027830004|0.00415527431675|-0.0352093885685|-0.00454288110859|0.0320479730344|0.018808337858|-0.0192869323564|-0.0180859343348|-0.0127480855398|0.0276389755016|0.00105737242737|-0.0181545563824@0.0195312598502
AVY,"May 8, 2008",TB|TVBF|TVB,-0.0171878775275|-0.0251406021972|0.00787771780547|-0.000134779338866|0.0200685926979|0.0119745428258|0.00607508632995|0.000231783044409|-0.0194838780004|-0.0431829013914|-0.0126120466296|0.015028982745|-0.00226479421719|-0.00184710532781|-0.0106618187309|0.00944760353368|0.0199816295592|0.00474045486892|0.0108156391067|-0.00829935267423|-0.0116862006744|-0.00209925420699|-0.00602379008008|0.00151662463064|-0.00126598335497@0.0107806373851
CAJ,"June 4, 2012",TB,0.00832868484162|0.012381050549|-0.00546988982329|-0.00772997655282|-0.00215954040763|-0.009263333635|-0.00159294214965|-0.0124600122923|-0.00815896908998|0.0225372918296|-0.00401816355181|-0.0112992574567|-0.00512746733378|-0.0300202792001|-0.0245490093578|0.0159863118441|0.00483969395633|-0.00256515916849|-0.00708284870326|-0.0231672271897|0.00770574212342|-0.0066858111854|0.00423188930145|0.0104020035664|-0.0144236384477@0.00963679739439
DECK,"June 5, 2012",TB|TVBF|TVB,0.0156184059954|-0.024094835339|-0.0047272961126|0.00684795568937|0.0128438920848|0.0151572440861|0.0180431581711|-0.0217811536605|0.0261230186347|0.0305090248435|-0.00784268427279|0.0240819187447|-5.37384448508e-05|-0.0122783024186|0.0351201017368|-0.0120251917806|-0.0228511805302|0.00362254359099|-0.00588943304195|-0.0266868492754|0.00814324225838|-0.0271952057859|0.000530964214156|0.0022832784881|-0.00576669686295@0.0178449797397
HPQ,"November 7, 2013",TB|T100,-0.00783168046691|0.030112762847|0.0121450573948|0.00334408100011|0.025471751746|0.0115334444629|0.0114483260219|0.0100754691718|0.0267821962578|-0.00263363674666|0.0137645400451|0.0108098500212|0.00139478640857|0.00568258294414|0.0201659651391|0.0156903872722|0.0664507609651|0.00334898662102|-0.0032290912119|0.00941004922451|0.0114148606744|0.0156438648203|0.0234074458037|0.00547334380547|0.0169518521513@0.0287319071969
TGT,"July 13, 2009",TB,0.0238311612485|0.0193660005284|-0.0227953003887|0.00868172380785|-0.00221839881108|0.0119603346447|0.030319124182|-0.021521118105|0.00283812704576|0.0183448760083|-0.0261461781336|0.00310897233634|0.00304115798061|-0.0326822727459|-0.000809607377079|0.0111934133924|-0.00391444623373|0.0204124985463|0.0312060451471|-0.0166159638233|-0.00332364941714|-0.000360036877621|0.000694884301008|-0.0153727767751|0.00279920988302@0.018704623432
DECK,"May 5, 2014",TB|TVBF|TVB,0.0569335339785|0.00297926121214|-0.0119628650369|-0.00509509739755|0.0349840546183|-0.00636961557488|0.0101954130892|0.0276359877309|-0.017429183458|-0.01839812195|-5.70577095708e-05|0.00769569640845|0.0188921472139|0.00250217009378|0.0949583067421|-0.0260327368574|0.000843001137091|-0.0300839048224|0.0179003022141|0.00162180317694|0.00750694247577|-0.0039205147968|0.00292414850491|0.0334443189044|0.0227708610426@0.0265126639645
LZB,"February 28, 2017",TB|T100|TVA|TVB|TV100,0.00354310883315|-0.00497864826857|-0.0050392567734|-0.00672865127999|-0.00505667246254|0.00489974419223|0.0100513456193|0.0139802118645|0.00537172997876|4.72255773811e-05|-0.0387158379209|0.00695390249699|-0.0120584723673|0.0127239688897|-0.00405714799144|0.00499952513108|-0.0318374678173|-0.0529471760881|0.00725564307705|-0.00562466337449|0.0193980070455|-0.00675592278406|0.019688798653|-0.00640367501592|-0.00720742323061@0.0234160812299
VNDA,"October 27, 2016",TB,-0.0175113001631|0.000321629987255|-0.0241469078608|-0.0127419925837|-0.0180629892107|0.0350744692854|0.00891867842898|0.0190042697559|0.00377538156619|-0.0165084536355|0.0249098969308|-0.0679865790327|-0.0158890497719|0.00105817075934|-0.0394700879177|0.014123269574|-0.0110663636754|-0.011306409666|-0.0142016169798|-0.00209236873742|0.0091302434504|-0.00688702412537|-0.0125273012502|0.0090605031651|-0.0220100323147@0.0426093005403
WILN,"June 26, 2013",TB,0.0155705663997|-0.00647375859781|-0.00241831495744|-0.029967713909|0.00855043524344|0.00219005485937|-0.0145491397083|0.0270384007671|0.0172519446463|0.0184673289846|0.0219982100274|-0.0365150526434|-0.00300553102205|0.0221869026391|-0.0108453507802|0.0132238557554|0.0257336438976|0.0868130919157|0.00188960974429|-0.00891166201344|-0.0266778492505|0.0326129912899|0.0195767138557|0.0185880499308|-0.025563924645@0.026517852245
WMT,"October 21, 2010",TB,-0.00282845635702|-0.0019243699005|-0.0110839491904|0.00344299998677|-0.00898670159431|0.00578250469666|-0.00503271869845|0.00754545175617|-0.00348527626272|0.0125998768022|-0.00475340882439|-0.00359386769661|0.00180358561027|-0.0146659611596|-0.00798449307759|-0.0107320668948|-0.00656851703354|0.00766765833665|0.00178917894386|-0.00337605910155|0.00599491960624|-0.00346456205623|-0.00669895679945|0.00963596454315|-0.0132127314774@0.00655325532837
COST,"June 27, 2008",TB,-0.0287312179688|-0.00865760653642|-0.00380622343484|0.00467742842916|0.017836083422|-0.0118703657641|-0.0002022665964|-0.0132239662119|-0.0124076022723|-0.0152528230137|0.0137740821944|-0.00489329637221|-0.00634770763226|-0.00886217276143|0.0103953480408|-0.0107119623782|-0.00536020711332|0.0163631915609|0.0134048785702|-0.00750902545584|0.016272375171|-0.000847793219633|0.0311797399876|0.010501885504|0.00165875867826@0.00900407420307
BBRY,"December 14, 2015",TB|T100,-0.0257045804693|0.0421660236566|-0.0135855763123|0.0107486365186|0.0188177937985|-0.0114403873915|-0.0121050919085|-0.00429479018364|-0.0301339828958|-0.0203410620618|0.0156847485951|-0.00457778460607|-0.0174603229314|0.0176571878192|0.0118784538696|0.0034211618991|-0.00258166716107|-0.0208207888755|0.0603927613665|-0.00376048628546|0.00689746459294|0.0245789539118|0.0238868450612|-0.0453017318075|0.0937391696381@0.019771760225
PLT,"October 23, 2012",TB|TVA|TVB,0.0241957742069|-0.00826031478643|-0.00917678904264|-0.0108142476714|0.00134159231148|-0.000510332445221|-0.00159167185649|-0.0214061905566|0.00971546762492|0.00245849362816|0.000476984305058|0.00424313197056|-0.0108735552662|0.000398685284242|-0.0110502216917|0.0048161070412|-0.0174822003692|-0.00541910837539|0.00138929474853|0.0089745525444|0.00466694562762|-0.00567276930661|-0.00175301928283|-0.000732303807316|-0.0255314528439@0.0182419271918
BDX,"May 19, 2010",TB|T100|TVA|TVB|TV100,-0.0136939705828|-0.0172027361076|0.00201226468963|-0.0159161350939|-0.000768310500179|0.0109572887618|-0.00827967786075|0.00215381203359|-0.00837480482667|-0.000168877055537|0.00283127854289|0.00522118025793|-0.00700258956289|0.00211233355589|-0.0134680405021|-0.00796264999117|-0.00440256932891|-0.00966609029868|0.000988952855353|0.00865096061771|-0.0024503000416|-0.00996848139195|0.000351684860567|-0.00259186351048|0.00596362708735@0.00521875715305
FMC,"March 29, 2012",TB,0.00963309516675|0.0126825788042|-0.00306254410468|-0.0120525659717|-0.00858291588149|0.0124477455804|-0.0117857205297|-0.00516656470394|-0.00270357620497|0.00194312343094|-0.00292334340669|-0.000254994555343|-0.00371638302244|-0.00207513969266|0.00280576800036|-0.0104302279675|0.0113895480672|0.00176525374847|0.0513783119182|-0.0103022011763|0.0159019831923|0.00845266418426|0.00847099353685|0.00676160532842|0.00332828561114@0.00940792424867
NTGR,"September 25, 2014",TB|T100,-0.00548459150096|-0.00131822943044|0.00125410712156|-0.00452287620112|0.00230706538915|-0.00722420345472|0.00494402526985|-0.0102946614836|0.0114297308822|0.00639844526141|-0.00738395089542|-0.00134798859198|0.005735838172|-0.0063203479158|-0.00535010579487|0.0136762692929|0.00424368521177|0.00503248502268|0.000701978102791|0.00388025456063|-0.00625231542908|-0.00603661669192|0.0149962238932|-0.00690293777233|0.0187308982687@0.0187469856209
BBBY,"November 21, 2016",TB,0.00974180788286|0.00279388425512|0.00216718710369|-0.00206101047553|0.010742436691|0.00169619179154|-0.000917636625833|-0.00367461208351|0.00111342437878|-0.016663840672|0.00331988584104|0.00186407964787|0.00449689158266|0.0413345028107|-0.013478155965|0.0310770841043|-0.0209239161393|-0.000846863548727|-0.00201457969355|-0.0137730980739|0.00499999484458|0.0110513836823|-0.0115996526324|0.00202559433714|0.0070984169106@0.01107393825
NOK,"May 5, 2017",TB|T100,-0.00178752730844|0.00615058568889|-0.000929518995522|-0.0141973558292|0.00518112702365|-0.00510885364058|-0.00760911869333|-0.00811969697409|-0.014626602221|0.00380981199896|-0.0114896573935|0.0107728931811|-0.00266705560446|-0.0180279358996|0.0619189162192|0.00306836985877|0.000109751124502|0.00781554363348|0.00306716362115|0.0215319088534|0.014389334227|-0.0141963153109|0.00673217857428|-0.0141617811817|-0.00480636903446@0.0084743087058
PRGO,"July 2, 2012",TB,0.015703267766|0.007684222776|-0.0114728098488|-0.00764185845763|0.00792257003983|0.0155287371736|0.0160024684183|0.00856585247994|-0.001240065322|0.0013301618806|0.0188645707162|-0.00530661414775|0.00794062994485|0.00954400378548|0.00126552803184|0.0147182427711|-0.00651994454918|0.008595917519|-0.013893607119|0.00328716768031|0.00382501438031|-0.003287105861|-0.00499570099947|0.00699947035175|-0.00171600377993@0.0107878287017
INFN,"November 20, 2015",TB|T100,-0.0179467711539|-0.00987857958663|-0.00267955045053|0.145261280181|-0.0714267471821|0.00819110776167|0.0113834753844|0.0183703992708|0.00909035926174|0.0185839107668|0.0137968276195|-0.015115941714|0.00535344630095|0.026880072597|-0.0012654145551|0.000813336737156|0.00997051130263|-0.00360116294787|0.00418782548913|-0.00673080415988|0.0308213411821|0.021168513409|0.00767407632542|0.00718708230172|0.012928536431@0.022546515351
WMT,"March 27, 2014",TB|T100,-0.00407127898097|0.00280321168625|-0.000567847484338|0.00825311222734|-0.0027201516903|0.00315225475528|0.00524477002803|0.000167395155686|0.00982575637607|0.00969489017942|0.00218761041971|-0.00346620622126|-2.91741653548e-05|-0.000920579473554|0.00181426429647|0.0132066734225|0.0155849734738|0.01443196013|0.000507339154595|-0.00415694578107|0.000634137208047|-0.00244477250446|0.00421346579743|0.00208961088329|0.00585039711091@0.00542571140375
IPCI,"July 30, 2012",TB,0.00133435938525|0.00727027514721|-0.0805514344186|0.0236791178639|0.00797571525198|-0.0690645574291|-0.00992396353566|0.0505509340352|-0.0243690777696|0.0152707513914|-0.0123804017986|-0.00558354714963|-0.00959534250914|0.00619171238468|-0.00594258764655|0.00289968846522|-0.00281487251427|-0.00113801765905|-0.00320065645969|-0.0201943123969|-0.0103116123368|-0.000748889221326|0.0247796215812|-0.0234949625344|0.00303705630533@0.0173810640441
BGCA,"February 6, 2014",TB,0.00163959003774|-0.0141674207203|-0.00647583332628|0.00755442673581|-0.0121417650774|0.0122918104518|-0.00136516781015|-0.00567219120344|0.0133552512882|-0.0114569308118|4.12721238928e-05|0.00181420227673|-0.00476431624929|-0.00150293730652|0.00163210859278|0.00238017829657|0.0076731854246|-0.0134280064925|-0.00343072382143|0.00436279874984|0.000385440983729|-0.0148073397775|0.0130808455773|-0.00460188977011|0.00585824511059@0.00775152855771
CTXS,"August 24, 2009",TB|TVBF|TVB,-0.0156058708763|0.0184525682267|-0.00880610323317|-0.0126509265169|0.00359184584571|0.0137388903991|-0.01151175683|0.0024039147518|0.00207888214215|-0.00432927461837|-0.0281741836354|-0.0100187309026|0.0173577811055|-0.000981328258904|-0.00143879704467|-0.030715175745|0.00200888879824|-0.00286572000427|-0.00948852984867|0.000711502774613|-0.00844321117712|0.00645432574334|0.00683315026367|0.00800413967911|-0.00816279098041@0.0164239099345
MSFT,"July 24, 2008",TB|T100|TVBF|TVB|TV100,0.0100499987969|0.016362299149|-0.00240581896959|0.0050360247184|-0.0206319522026|-0.00454961649795|0.00924511132531|0.00483427638279|-0.0103072038113|-0.0065188415048|-0.00817136404367|-0.00853878913673|-0.0109407190147|0.0398004773494|0.0539604944051|0.0347799506549|-0.0462719541663|-0.0142328281371|0.0165622046844|0.0367607973382|-0.0329421459802|0.0123384690341|-0.0124874603777|0.0262356769249|-0.0104888831023@0.00845755574016
TGT,"July 29, 2015",TB|TVBF|TVB,-0.0112542042603|0.0128282171314|-0.00940027813831|0.00570990796042|0.0137428511331|-0.00490807541625|-0.00720371772451|0.00176077033478|-0.0054641913479|-0.00161325598991|0.00359694331453|-0.00101806328448|-0.0086622973149|-0.0099905917261|-0.0204006570083|0.00795984740727|-0.014688284462|-0.0144561835123|-0.00630466950039|0.0065470063902|0.0155342479314|-0.00151953974159|-0.00655320253617|-0.0184894318787|-0.00535129127863@0.0104490555797
WHR,"August 4, 2016",TB|TVBF|TVB,0.00772710937601|-0.00221644243207|-0.000380405600297|-0.0081316964583|0.00249299215694|-0.00226842633833|0.00694102490516|0.0121951691134|0.0131982398655|0.0191813501718|-0.000171447970635|0.0205486522952|0.0182813501311|-0.00706269392012|0.00337929565668|0.0103402213797|-0.00162101511975|0.00267023944624|-0.0036910246996|-0.0174268990778|0.00768425381098|-0.0127711168176|-0.000426316064961|-0.000783703556467|-0.00680645165859@0.0113724827828
SNA,"April 28, 2016",TB|TVA|TVB,-0.00742269201567|0.00594937535053|-0.0234657447592|0.00528688773361|0.005039749318|0.00795914157599|0.0192635319302|0.0011257840295|-0.00465801616058|0.0125340177622|0.0109236524113|0.00386743018856|-0.00361189370786|0.00932048190079|0.00231636483139|-0.000409358498381|0.00904245480246|0.0105663448016|0.00585301852759|0.0100943634785|0.00582194188756|0.000117565896964|-0.00826691732616|-0.00681073755091|0.0184683850029@0.016940675265
ELY,"November 10, 2008",TB|TVBF|TVB,0.0203267064588|-0.0258118622372|-0.167922834588|0.0448025253708|-0.051122957081|0.00856279587198|0.0122343888058|0.0217036985765|0.0461909936436|0.0108828264533|0.00538645651765|0.0522508835002|-0.00813582152149|0.0246653991657|-0.0534038833598|-0.037516353758|0.0212069339134|0.0361517685397|0.0185177719317|0.0359163642187|0.0140787906394|0.0111355028216|-0.0191798804311|0.059564364716|0.0424296235886@0.0149766880747
EA,"April 24, 2015",TB|T100|TVA|TVB|TV100,-0.0022125218941|0.0207505485752|0.0141974436574|0.000202577689813|-0.0157735205606|0.0101062849115|-0.0185065655685|0.00570948172708|-0.0114709373939|-0.0201155143616|0.00410396545149|-0.0104358575244|-0.00360471468164|0.00104413804116|-0.00743286445319|-0.0103293984128|0.012059739268|0.0112556205915|0.0117525576003|-0.00581249625716|-0.0118205839057|0.00804305109908|0.00999837222601|0.00411413488502|0.00409331515355@0.0246332122726
CL,"February 3, 2012",TB|TVA|TVB,-0.00834278204741|-0.00349382461344|-0.00246147120516|-0.0101022235373|-0.0129733417776|-0.00195585061127|0.00165630980538|0.011898154344|-0.000564117216202|-0.00722223230899|-0.00680881294044|-0.00901056699003|-0.00073766434042|0.00925052006497|0.0242842322623|-0.0104642030665|-0.0094776392178|0.012326367364|-0.00169383089042|-0.00416307955864|-0.002003249556|-0.00415318909587|0.00111886716635|-0.00424121446654|0.00159261666554@0.00680277350987
FB,"March 28, 2016",TB,0.000524290911217|0.00309596738375|-0.0203461127089|-0.00586714436465|-0.0108332983749|-0.0187470215578|-0.0227457225947|0.0087081202183|0.00362776552896|-0.00693869382698|-0.0113877526078|-0.00324260433583|0.00228359651904|-0.00150455127906|-0.0190671896902|-0.00869796619072|-0.00584403378051|-0.00271202701296|0.00421481181299|0.00239623690579|0.000698332011711|0.00404780649115|-0.0254295341311|-0.00772262384388|-0.00231557588901@0.0302380488903
CAJ,"April 8, 2015",TB,0.00571639804071|0.00648603652761|0.0047463929754|-0.000887178702112|-0.0125185456568|0.0154196089301|0.0171426016419|-0.00160946834006|0.0194965934841|0.0274949525682|-0.007561160136|-0.00705465613937|0.00481844645594|0.0158398778541|-0.00257284031134|-0.0028443278776|0.00188555634534|0.0190779004818|0.0289628349328|-0.00699561667862|0.00407672664564|-0.0015950413818|-0.00571766858736|0.00207680808699|0.00942302452791@0.0101253728366
AAPL,"September 16, 2013",TB|TVBF|TVB,0.0086722965114|0.00448999888096|-0.0153938669855|-0.000880072677086|-0.0038069029321|-0.00932935693923|-0.000385604962649|-0.0273261055416|0.00214038162692|-0.00433553197637|-0.0129008904925|-0.000518033844878|0.0132758323629|-0.00646479333485|0.00368849505026|0.00762948568276|-0.0269925323454|-0.0596952382993|0.00664893994179|-0.0197776306087|-0.034062540802|0.00662302366804|0.00904440050357|0.00969180465588|-0.00728829418636@0.0156758954828
AMZN,"April 24, 2015",TB,-0.0122782056287|0.0161791481292|0.000227033012207|0.00663826559664|0.0043214176551|-0.00446708323015|-0.00798278200081|-0.0216092248247|0.0263464829579|-0.0297713658042|-0.0148715154422|0.0137762320349|-0.00675579987288|-0.00287626680235|-0.00477421494123|-0.047397862855|0.0314813595338|0.000874540426688|-0.0252085589329|0.0019834399046|0.103709059873|-0.0448152575747|-0.0160690314603|-0.0310078392868|-0.0589412524397@0.025139558725
MU,"January 11, 2012",TB,0.00126351706948|-0.00914134309811|-0.00323155695416|0.00298989025614|0.0110233339406|-0.0261227130585|0.00900115682557|-0.0366547507199|0.141670406986|-0.00789814048689|-0.0375186271682|0.012718046776|-0.000836061634837|0.00614097146225|0.0599945571555|0.0415005875422|0.0156231003713|0.00364814434369|0.00312902894406|-0.0224287511877|-0.00695737114933|-0.00351091673205|-0.000906520375533|-0.0212730621023|0.0416720599164@0.0516945623911
AAPL,"September 2, 2015",TB|T100|TVBF|TVB|TV100,0.000629771886674|0.0260788605841|0.00164283079397|0.0322410235375|-0.0390086961736|0.0131704180773|-0.00143727182398|0.00974764289046|0.0021319823648|-0.00288714897108|-0.0059271343858|0.00587033793998|-0.0157009239869|0.0134261374457|0.0194644610982|0.00697775041298|0.00719960876441|0.0117284599763|0.0237090749986|-0.0177527408604|0.016315400465|-0.013856204839|0.00758463511708|-0.0034213278367|-0.00228897342544@0.00761013888902
WMT,"April 26, 2016",TB|T100,-0.00389592414811|0.00878790833261|-0.00426720753936|0.00695443285652|0.00302490250009|-0.00287586767258|0.00313701658907|-0.00717428432682|-0.00396879265342|-0.00977930896468|0.0163225024514|0.000849338566004|-0.00530020349192|0.00455683068027|0.00973289634937|-0.00399151091813|-0.0090481059756|-0.00822682548296|0.00302716703912|0.0119337406892|-0.00402649414412|0.00036399636237|-0.00403243459377|-0.0287163682005|0.00767144122439@0.0126599546281
AMZN,"January 20, 2016",TB|T100,0.00910518353344|-0.0163115342607|-0.0127000100342|-0.0138362522914|-0.00310152165998|0.010341749055|0.00441782965054|-0.00389458261102|-0.00939074775342|-0.0395979467163|-0.0126668663381|0.0119802399207|-0.0101340722726|0.00614371671694|0.0142508499254|-0.0272827557924|-0.0206432071351|-0.0145090816469|-0.0133759945392|-0.00316348743309|-0.000517243675508|-0.00817796997828|0.000847157448871|0.00481554410859|0.000317610750368@0.0133032747403
DAL,"March 22, 2012",TB,-0.0466824846601|-0.0223847223523|0.0129686733701|0.0248129811709|0.00454855797502|-0.0234389048191|0.0277790636769|-0.0178428080217|-0.027228401019|-0.011757164159|-0.00896689880533|-0.0304756463137|-0.022099291833|0.00267250392665|0.00135777814166|0.0256598518699|-0.0439311454561|-0.00552343977535|0.0314995721581|0.00898748046195|-0.0250708061468|-0.00446824806518|0.00416146723015|-0.00884731563568|0.0199995684225@0.0213377796592
SNPS,"December 19, 2014",TB|T100|TVA|TVB|TV100,0.000772852956884|0.00438575639293|0.00135562968049|0.00864500700016|-0.00430068222657|0.00607560634364|0.00213007667427|-0.00292728736824|-0.00700025615716|0.0399908715889|-0.00373787524752|-0.00997256183308|-0.0039485561999|0.00314511984266|0.00329992256623|-0.0142719581165|0.00416483657834|0.0028107418996|-0.000484060008687|0.0053262500077|-0.00694750508901|-0.00226143185294|0.000764297772088|-0.00148082438211|-0.00581780683085@0.00945048548003
BKS,"January 4, 2017",TB|T100|TVA|TVB|TV100,0.0052181473339|-0.0120970438794|0.00536045653678|-0.00929837441678|-0.00693982390745|-0.0223407326502|0.0097516811289|-0.00447387947735|-0.00554526981814|0.0267438417077|-0.0018081831535|-0.0146031619987|0.000205422956364|-0.0228681793661|-0.0138382556334|-0.0106474884071|0.00302449306406|-0.0165501103263|-0.0203992318655|0.00509104642099|-0.0048088015822|-0.0429114364896|0.0124181699718|0.0328329207285|0.0249412402905@0.0134355515045
WMT,"July 17, 2008",TB,-0.0128205214148|-0.00344137683639|-0.0178754245888|0.00212912600716|0.00999782625634|0.00917241597564|-0.0103647815411|-0.0105791891172|-0.00549393775358|0.0134639537925|-0.00465709757061|-0.00132327766906|0.00234161284084|0.0487332533571|-0.0253271033826|-0.0176858049195|-0.0137932318346|-0.0110097714971|-0.000131528181922|0.0312313962336|0.0320730717224|0.00769426545146|-0.0134064496783|0.0472005029248|-0.0083023385456@0.0111653420246
RTEC,"March 5, 2009",TB|T100,0.0730268974676|-0.0161483091078|0.0402362599291|-0.0287149190917|-0.0042571273305|-0.00995588188435|-0.00702879575449|0.0254662855782|0.0123209063472|-0.00843201309979|-0.00165695219156|-0.0137110354225|-0.0547365807922|-0.032458898474|-0.0127551275726|-0.0544316310098|-0.00126633832124|-0.0227004154099|-0.0409088603445|-0.00472814689185|0.00217516472876|-0.0832797999155|-0.0275988042584|0.00318221629844|-0.0483742519858@0.0616302111505
AAPL,"October 25, 2011",TB|T100|TVBF|TVB|TV100,-0.0271508735423|0.015936484719|-0.0175637593959|-0.00628110760186|0.00962732132478|-0.0402007967317|-0.00193786008053|-0.0175976506803|-0.0149706996982|0.0230721704934|0.022926172002|-0.00321889332263|0.00940369095362|0.0160227315586|0.0124477810989|-0.00847196800834|-0.044057579284|-0.00912252945914|-0.0228317993002|0.00996281638598|-0.00327728845115|-0.00252618757595|-0.020443533789|-0.000761656021954|0.0134483009137@0.00940473131474
TWX,"December 9, 2009",TB,0.00684005404447|-0.000412704768868|-0.00240039482265|0.00761950657841|-0.00243933602132|0.00583097017737|0.00743624939872|-0.00865885173447|-0.0225066794571|0.00921710306852|-0.0138403669064|-0.00346020625535|-0.00887484874203|-0.00742765208242|0.00958861802505|-0.0201682455051|0.00821652958|-0.0107128777515|-0.00866877272757|-0.0245078573782|0.0225364779101|0.0475035848516|-0.00348259452349|-0.0153690053567|-0.0114758611259@0.0166696159548
DD,"May 19, 2017",TB|T100,0.00555501340676|-0.00557871707196|0.025224393461|-0.00984217506514|-0.022690810614|-0.00398042234156|-0.00816408054537|0.00334949513878|-0.0107160759683|-0.00555849488718|0.0222372101313|-0.0114243830004|-0.0131026638906|-0.0083391927796|0.00304815783783|0.00335052982093|-0.00583830018884|-0.00643877958369|-0.0122060012195|-0.00121771878265|0.00121398323282|-0.014893882295|-0.00316309994048|0.00768085275606|-0.0210298100127@0.00840262661765
MMM,"January 23, 2009",TB,-0.00908160769403|0.00244614867416|0.00611768579054|-0.00298916283986|0.0236156214074|0.00579848221308|0.00580676817077|-0.00670908625907|0.015450650797|0.00351551512872|0.0130533872846|-0.00260428537631|0.00431089998044|-0.0105238997578|0.000649796243772|0.00445598694493|0.0200266923573|-0.0147896301447|-0.0156145934703|0.00438281103005|-0.0195468630986|0.0135129076118|0.0043438370967|0.0130216080074|0.0398814496268@0.0232137063941
BXS,"August 3, 2011",TB|T100,-0.0043590864228|-0.0075066845904|-0.0108070859621|0.00218268523229|0.0374136774089|0.00842907086009|-0.00331881609322|-0.0192557681771|-0.0181774721449|-0.00502023029473|0.026193323307|0.0104037595484|-0.0124998142015|0.0164703360692|0.123477691441|0.00637753440998|-0.0177507225575|0.00117418142989|-0.00995843022435|0.00512687247563|-0.00957873683956|0.0259118069601|-0.0449682509335|-0.00332234686404|-0.0293335307113@0.0108651826806
LLY,"January 10, 2017",TB|TVBF|TVB,0.0109990582786|0.00971659963098|0.0154549607799|0.00731204502793|0.0539566919415|0.040106614228|0.00653540665026|-0.0007627231791|0.00936795852296|0.0120173903047|0.0147668200544|0.00431248209434|0.0109658839923|0.0169137953728|0.0154704279151|0.00903409803325|-0.00203076885241|0.0247182233778|0.00512262445627|0.0243182469256|0.00341396651868|-0.0124612927434|0.0395824756734|0.00686504458831|0.00935631665568@0.0236139736112
