Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
MSFT,"April 8, 2009",TJ|T100|TVA|TVJ|TV100,0.0407888926757|-0.0757920453526|-0.0348908383918|-0.00374148619825|-0.0111505763711|-0.0295283766274|0.00803626492547|0.0225917448448|-0.0013797763331|0.0188328317546|-0.032655350413|-0.0105837511791|0.00505763959742|-0.0224344201306|0.0405903217251|0.0361271343509|-0.0686008053861|-0.0402821872031|0.0205503540496|0.0374614991498|-0.0107366195914|-0.0323022325063|0.00315851102663|0.0135401085955|-0.0422507192883@0.0236252131323
AAPL,"February 24, 2015",TJ|T100|TVA|TVJ|TV100,-0.00445994645742|-0.0164116629451|0.0700217527974|0.0187210105936|0.00815496630676|0.00760867680645|-0.0142048509585|0.0132691151569|-0.00854899049417|8.68891945373e-06|0.017234865811|0.00165595221272|0.0225405256671|-0.000155636065698|-0.00236271827076|0.00592120093407|0.000855068627378|-0.00346825994098|0.000763787298012|0.026707803881|-0.00211656005433|-0.0290280562013|0.0102093395833|-0.00535630182275|-0.0058230733931@0.00792478834358
STI,"March 26, 2010",TJ|T100,0.0195882407418|-0.0480123381943|0.00584130555148|-0.0210055720732|-0.000502271553875|0.00192200352716|0.0107752367893|0.00026319301569|0.00570071511111|0.0280166511322|-0.00408304191351|0.0258268021948|0.00486560905543|0.0145507270413|-0.00743898814367|0.0249974683543|-0.0328856558004|-0.0278799572146|0.0102965075381|-0.00620387607558|-0.00974452427493|-0.00812090406059|-0.000226350954281|0.0260755286817|-0.0063114670339@0.0221619483441
TECD,"November 19, 2008",TJ|T100|TVA|TVJ|TV100,0.00757773951262|-0.0170243186252|0.0252145139659|-0.00783359691992|0.0163042253319|-0.0106389742104|0.00700851941343|0.0213728936515|0.0230267949995|0.0256505797393|0.025004875169|0.00287138260972|0.028336508062|-0.0260499578919|-0.0010678812735|-0.021109594099|0.0163887710719|0.00471024158048|-0.0125659000447|0.00557343285091|-0.0192242846246|-0.0537553889773|-0.0658035587731|0.0560783953042|0.015232468155@0.015886085937
EXTR,"May 30, 2008",TJ|T100|TVBF|TVJ|TV100,0.00673669460315|0.0164112920346|-0.00690660039445|-0.0137672820413|0.00405893583061|-0.00119624063544|-0.00105798059326|0.00628525239003|0.0171860007072|-0.0329069000313|0.0464732086082|0.0944020889008|-0.0879277339488|0.0323279980455|0.0146969466415|0.013992078996|-0.0151270286929|-0.00564638338759|-0.0284900897788|-0.00729105048674|-0.00568293573795|0.00453070405302|-0.0114208649993|-0.0190390526675|0.00695938684136@0.0177697093002
SNPS,"October 10, 2014",TJ|T100,-0.00529945399459|-0.0168787626337|-0.00197602046342|-0.00499704041766|-0.000178560487841|0.00625325011362|0.00289518937665|-0.00225594285547|0.0309846449137|0.00188187641771|-0.00304051972533|0.0114141252669|0.00493459509526|0.00174269826372|-0.00673599566299|0.00684204623366|-1.98554225882e-05|0.00358283334103|-0.00260810476719|0.0220919511902|-0.0511576840669|-0.0125236274416|-0.0174283414391|0.0321938672875|-0.0320854974508@0.00929250986322
MSFT,"March 16, 2010",TJ|T100|TVA|TVJ|TV100,-0.000325283939779|0.00281369662177|0.00518213765902|-0.00796447986359|0.00269398036456|0.000589763249688|3.57576188551e-06|0.00301615420193|0.00278000698237|-0.00318847318434|-0.0220307616392|2.40977967524e-05|0.00253831805882|-0.018126099708|0.00317841959527|0.00346485665646|0.00216225399085|0.00127065454283|0.00294270522212|-0.000560083036024|-0.00506338994869|0.0030889613626|-0.00108408746736|0.00583413548035|-0.00791012480036@0.00955150477171
SATS,"May 26, 2017",TJ|T100,ERROR
DD,"August 1, 2012",TJ|T100,-0.00397225509947|0.00541437092168|-0.00205209719526|-0.0268947540291|0.0143579491305|-0.0088583486|3.64302283387e-06|-0.00227657818981|0.00226905027308|0.00833597084285|0.00350161620622|0.00154783007738|0.00631300228297|0.00883171829265|-0.00806305542855|0.00999192916073|-0.00603693252882|-0.00276401071922|0.00115548108199|0.00729823078595|0.00934825222805|-0.00963234988314|-0.012582455509|0.0115083867523|-0.00237937633846@0.00485899066318
CHKP,"February 6, 2015",TJ|T100,0.00891239162171|0.00347875394518|0.00501005661344|-0.0142942706137|0.00407333357438|-0.00161145034906|0.0121801284531|-0.0133050162607|0.0016397577176|-0.018479887185|0.000866209829651|-0.00358558221549|-0.000936609141165|-0.0215476980237|0.0105242037491|-0.0107324601266|-0.0161273718178|0.00220744202754|-0.00713584001761|-0.00348910380534|-0.00495917674047|-0.00576387397322|-0.00167980775506|-0.00011358936137|0.00479486381215@0.00606955124711
