Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-60,-30)_[-20,5)_NBS"
AAPL,"November 9, 2015",5,A1,-0.00865578552437|0.00653747333892|-0.0112440157549|-0.00654645965046|-0.0157382073665|0.00273694637343|0.0167919254471|0.00462775526405|-0.00807099034766|0.0143955114608|-0.0322952592399|-0.00685703759831|0.0237518386627|0.00834926751992|-0.00618394777741|-0.00321470870088|0.00502222735113|-0.00382252947874|-0.00626365405481|-0.00106472269631|0.00449719022049|-0.0376880570528|-0.00373187509631|0.0108885564355|-0.0187578784366@0.0122403453791
LLY,"January 13, 2016",125,A1,0.0107167735434|-0.00165360958094|-0.00686055140383|0.014831360327|0.0014414339139|0.00569229809813|-0.011551837836|-0.0101176866765|-0.00285644284218|-0.00232044920653|-0.00285500868162|0.00638298937475|-0.0127029247146|-0.00233635876553|0.012545371771|0.00651942561134|-0.00126113915992|0.00912813460834|-0.013704106348|-0.00737123310752|0.0122934965871|0.0223702264917|0.00644855901496|0.022272132719|0.00569865211396@0.0116298613086
AMZN,"December 7, 2016",2,A1,-0.00453972402772|-0.0356154739848|-0.0447336132943|-0.00465468489504|-0.0311050698634|0.0210676308704|0.0037541474214|0.00431477014707|0.00477394719369|0.0140664387784|0.00168250823632|-0.0101239802342|-0.00687953485427|-0.0148578253342|-0.0106823133222|-0.0157893056427|-0.00774631122293|-0.00787787450867|0.0154750182126|0.000477771569205|-0.0107266662133|-0.0097295449296|-0.00819675170641|-0.0126442902035|0.0078638015867@0.00710447828211
RHT,"November 14, 2014",36,A1,0.00727729403531|0.00663309143958|0.00180547858352|-0.0345468374104|0.00654127957317|0.00560882283862|0.00562953395692|0.0149167313351|-0.00605087374735|0.0217070291847|0.00523917844993|0.00547220212181|0.00446348260533|0.00485755854323|0.0182136290027|0.0104739083136|0.00150410499194|-0.000528873747761|0.00453482771047|-0.00341139164719|0.0217131179239|0.0117217447411|0.00131947922991|-0.00131734680976|-0.00167678150191@0.0131118297172
AAPL,"April 25, 2016",21,A1,-0.00592103550301|0.0128035421606|0.011886017309|-0.00335115235981|0.00113021433567|0.012957034751|-0.00185014185935|-0.00194482980981|-0.00990102802328|-0.00251393309244|0.00508696075202|0.00228263034674|0.0028894373249|-0.000252161347446|-0.0198273083573|-0.030042197705|-0.00942435008968|0.000299993994002|-0.00585011494637|-0.00347646171872|-0.00458412745201|-0.00929682969042|-0.0675584315084|-0.0220200659633|-0.00650201691288@0.00970048899487
INTC,"August 22, 2014",42,A1,-0.00121685051414|-0.00520966369667|-0.00264408346744|0.000212225893844|-0.00449804524828|-0.00674473251694|-2.04931221131e-05|-0.0280007621546|-0.00365043497046|-0.0059123375497|-0.014498572684|0.00651107487518|-9.66462783824e-05|0.0199915290649|-0.0122085551668|0.00253559853385|-0.00293600343784|-0.00987246859469|-0.0014908889479|0.0123633388592|-0.00930732538056|-0.0114649909352|-0.00507612900988|-0.00437535143444|-0.00801969705788@0.0134982545561
FIS,"October 13, 2016",8|349,A1,-0.00466275644721|-0.0166766969018|0.00983170889386|0.00805661322274|-0.00669272828306|-0.00290321959822|0.000103356944317|0.00617803278847|0.00328696618312|-0.0130912493811|0.00496659403316|-0.0070631172625|0.00059959671463|-0.000524715355974|-0.000530379863554|0.0166806967248|-0.00496839285276|-0.00963422305193|0.00233930770534|0.00688851470392|-0.0080159141945|0.000939637660733|-0.00564022194608|-0.00618576459176|0.0010454385771@0.00828384488
XRX,"July 11, 2014",10,A1,-0.000408166511135|-0.00604205642578|-0.00547582217777|0.0116982248601|-0.0132777926673|-0.0241562875503|-0.0103664571647|0.0136722379091|-0.00441903889761|0.0159752840558|-0.0192720221214|0.0106907440936|-0.00533825999726|-0.0141185257937|-0.00499280402057|0.00193927167666|-0.0152311801523|0.00735814916497|0.0155291972226|-0.00075994122721|0.0232441302069|-0.00866439859486|-0.0034394705653|0.0119458780126|0.0116872338873@0.0109486809409
F,"February 18, 2015",1,A1,-0.00283238309317|-0.00848213341995|-0.0140247131994|-0.000605232568872|0.00890872292406|0.00181005203849|0.000252453546568|0.0155698281586|0.00692387901092|0.0224180811307|0.00706298452749|0.0192578516093|-0.0133633719254|0.00461567649857|0.0099162749684|-0.00217451975332|0.00967509808664|-0.00476152995178|-0.0083235863566|-0.0131897124799|0.00657674138016|0.0148854974313|-0.00883069201054|-0.00053348764801|-0.00427481479207@0.0102055983704
FLIR,"January 10, 2017",1|396,A1,-0.00562035608059|-0.00568755853167|-0.0111245651894|-0.0145862404803|0.000911262986915|-0.0129693077606|-0.00853747158706|-0.0022388471027|-0.00897422322389|-0.00816151798787|0.00725918694615|-0.00294451721164|-0.013463231975|-0.00342433407688|-0.00851702889962|-0.0124912142508|0.00519042097206|-0.0105328399046|-0.0211581802617|-0.0124031811598|-0.00154113596145|-0.00665848107816|-0.0128481331051|-0.00272360784396|-0.0149023880525@0.0202135445593
ZNGA,"May 10, 2013",46,A1,0.00576685825047|-0.0337374083079|0.00808022460745|-0.00786430732129|-0.00535170343494|-0.00655316183038|0.00753728849638|-0.0270998967418|0.0514360563074|-0.0724197826309|0.0699934517833|-0.031630376366|-0.0273852739162|0.00686641105893|-0.0040877682328|-0.00508026462532|-0.00590134364507|-0.0308700027381|0.0356435616213|-0.0122036137257|0.00261814739992|0.0708469567929|-0.0497100968675|0.0350730288221|-0.0267386994076@0.0380525742162
NFLX,"February 26, 2014",50,A1,0.0695317140948|-0.0184978739372|0.0174466531217|0.0104906195928|-0.0211969976255|0.00896166340578|-0.00242835091842|0.016703194074|0.060429237176|0.0037953022546|0.0152647831256|-0.00964236485639|0.0219193223059|0.002094313196|0.00549216083843|-0.021255761483|0.0202317494416|-0.00496971481468|0.0380934642023|0.0150678689797|-0.00752850307508|0.0119864295673|-0.0116454888361|-0.00161367394405|0.0293743156253@0.016178418324
ITW,"July 8, 2015",75,A1,0.00262705358674|0.0074011381823|-0.000288056995092|-0.00273871554125|-0.00598899484244|-0.00495478856878|-0.0016956116487|-0.000720599881249|-0.00152198424731|0.00472863338409|-0.00474643903144|0.0178788994984|-0.00935796942503|0.00478563065501|0.00976757426444|0.00213693124956|0.00961056014092|0.00143445903691|0.000894132926973|0.0013957531104|-0.000983157431932|-0.00202185893249|-0.00530552244834|0.00103945105052|-0.000855987064372@0.00747640334002
ADBE,"September 14, 2015",33,A1,0.017530024787|0.00251536729094|-0.00304079344137|-0.00726676351542|-0.0203746962161|-0.0281696209936|-0.0326486406894|0.0106530916832|0.00990067045023|0.00262540314542|0.0048735445527|-0.00637453178988|-0.0144354162765|0.00260492523123|0.011994577562|-0.00952480527326|0.0190384839252|-0.00821279650707|-0.00261769387887|0.00189578512784|-0.00806205147416|0.00396673570929|0.00544938298849|-0.00251612007733|0.0213565844314@0.00892552926927
TIME,"December 16, 2015",181,A1,-0.00495926647996|-0.0249773827779|-0.000502238621916|0.0183560510513|0.00549167878594|-0.0077113043497|0.0566588171905|0.00550451904268|0.00908892330307|0.0141848315413|0.0063997779068|8.92299698219e-05|-0.0281199692833|-0.00361358870899|0.014841715475|-0.00317317915787|0.0304039512269|-0.022596153|-0.0517600920196|0.019227755852|-0.000823099665895|-0.00444790083889|0.00169039366894|-0.013246526995|0.0228830278383@0.0173374666732
HPQ,"December 2, 2015",47,A1,0.0292078699948|-0.00660167740653|-0.00499909025318|-0.00206291647941|0.00187914575807|0.0150953132572|-0.00918077711159|-0.026998216732|-0.000807324486888|-0.000713145174418|-0.00420979383619|0.00707677382284|0.0121519537713|0.0149444613994|0.0135909619078|0.0268513443686|-0.146581332573|-0.00368781828576|-0.000204038464256|0.00401520218749|-0.0509834214015|0.0344651427172|-0.010271036647|0.00399486207167|0.0118970778179@0.0175734228975
ABT,"March 20, 2013",-37,A1,-0.00340957556655|-0.00581968356245|0.00156937327011|0.000730683625002|-0.0114279844267|-0.00252360964313|-0.0143129078171|-0.00900175737392|0.0164508416984|0.00401664814301|-0.0139172933729|0.00210032362859|0.00334882685843|0.00355007746658|0.00107760876209|-0.00148378462165|-0.000753214528365|-0.0297260557079|-0.0186843054043|0.00207845109761|0.00266110932653|-0.00671883842861|0.000330242208122|0.00396173197756|0.0102352962752@0.0101929160936
AMD,"January 18, 2017",271|6,A1,-0.0198663268673|0.0168025195055|0.0362873830779|-0.00300283046122|0.00950680962707|-0.0102552194596|0.0307627726222|-0.0318745283864|-0.00149884853451|-0.0194726811444|-0.0136770174087|-0.0180014302492|-0.020506108158|-0.0059061920086|0.0164862840246|-0.00978927623746|-0.0326123361113|-0.0401794746246|-0.0271584378946|-0.0724905293205|-0.00401607400237|-0.00875726319643|-0.015250870835|0.0163717726837|0.0331245205399@0.0448204304893
FUN,"April 17, 2015",7,A1,0.0179533680155|-0.00571244941352|0.00931038743041|-0.00594968737898|-0.0105328183816|-0.0121965388861|-0.00309555121708|-0.0122585371739|0.0161554559575|0.0184119712871|-0.0147559911663|-0.025173854095|0.00210100020623|-0.00244979611015|-0.00371946564481|-0.00480688179081|-0.0112932561512|-0.0132883563808|-0.00373582226244|0.0087340060589|0.00405369931536|-0.00565121134814|-0.00976979585153|0.0100666137591|0.00590372207917@0.0121380149786
ABT,"June 26, 2013",82,A1,-0.0192018486209|-0.00318378992721|-0.020497694642|0.0102757015844|-0.00773455650524|-0.00717987525955|0.0046174913147|0.0170022157718|-0.000869155249308|-0.0130701201818|-0.00695198492839|-0.000544469510696|0.00570778702969|-0.00189462131559|0.0125132595195|-0.0288625283689|-0.0173129658401|0.00970029714806|-0.0114635480682|-0.000979608160796|0.00874683181814|-0.00993810085532|-0.0120126284388|0.00112245894923|-0.00474973541543@0.0111865295466
SNPS,"October 17, 2016",31,A1,0.0063248140249|-0.00586228327739|-0.00443315442178|0.00172372097833|-0.000979395946598|0.00337057815755|-0.00222613818583|-0.00336620795431|-0.00611651803086|-0.00659351794012|-0.00724631177433|0.00124725500332|0.00691640896155|-0.000339151287892|-0.00820210442462|0.013203018368|-0.00450732709765|-0.000872041793638|-0.00350227234611|0.00138147841795|0.00141957460564|-0.0118733800504|-0.0032573707493|-0.0100048321649|-0.0041057990753@0.00880251039425
DGLY,"January 13, 2017",3,A1,-0.0700721915262|0.0139336108771|0.0406364874941|0.00332696190437|-0.0324222106099|0.0181732229853|-0.0297010121619|0.0392856286474|0.0261240959915|-0.0130123657957|-0.0306573464779|0.0190090797955|-0.000130793675851|-0.0231557741938|0.0411445676509|-0.0213702861813|0.0187834049548|-0.0048615207396|0.0475768850549|-0.052885333249|0.00325214015915|0.0428810567023|-0.00377754465518|0.114791752103|0.0938136818035@0.0393356532505
HON,"February 12, 2014",156,A1,-0.00860553251196|-0.00132842974969|0.00336053841842|0.00462499129636|0.00322498373977|0.00469699956715|-0.00318986638156|0.0140021950266|0.0270263082072|-0.0061097921681|0.00509876062711|0.00756038021707|0.00278782115041|0.0029630342415|0.0020400851965|-0.000152189343674|-0.000313129824406|0.0055007970798|-0.00572417322554|-0.000490295437307|0.000782345196124|-0.00428417138321|-0.00645403083161|-0.00428650370674|-0.0059952129824@0.00408226819577
BDX,"May 9, 2016",5,A1,-0.00399913866644|0.0167196068181|0.000309917556189|-0.00593081614384|0.00591071292848|-0.00375484037457|-0.0125107910917|0.00302614599732|0.00292976827505|0.00630357919876|0.00266751239668|-0.00639682131859|0.00948052254274|0.00844733975307|-0.00126503835708|-0.00870280093608|0.00228971725159|0.0102741407528|0.0213145859683|-0.00571923577989|0.00539720148863|0.000369696288751|0.00215059235581|-0.00052092982652|6.4527316151e-05@0.00827069290941
EW,"January 22, 2014",105,A1,0.0220404214101|0.00831839305124|0.00691708475996|5.95242139816e-05|0.0159752146222|0.00158952651528|0.00499027959909|0.0145126354306|0.026725644337|-0.00528406880831|0.016284116185|-0.0012318685423|0.030842983067|0.00595511571214|0.0180518492333|0.0269299911678|0.0215013073594|0.0180513969444|-0.0495502085124|0.0218764537664|-0.0154731760435|0.0121492283687|0.0265798070411|-0.0265911398866|0.00156158453179@0.0185098690578
AAPL,"May 4, 2016",2|432|386,A1,-0.000142536916053|-0.01338281382|-0.00259659161033|0.00384065203977|0.00371747027859|0.00450440534115|-0.000945142784241|-0.0207866525624|-0.0291305934828|-0.00940175731775|-0.000184303311689|-0.00779858570864|-0.00418053735336|-0.00568603147383|-0.00965829497848|-0.067788064625|-0.0248278699273|-0.00845520839769|-0.00915532927431|0.022212026163|-0.00719877384695|-0.00534362715786|-0.0100994597986|-0.00137899726381|-0.00504960038107@0.0098866679427
CSCO,"June 15, 2015",12,A1,0.01444668802|0.0019354980951|-0.00152311991869|-0.00442375687331|-0.0113384593479|-0.00406131941262|0.00161976219499|-0.000731332755754|0.00151471984416|0.00517637242566|-0.00825490852981|-0.00345202017428|-0.00423087679871|-0.00728124872724|-0.000164638609746|-0.0040919897738|-0.00249778084046|-0.00142487202018|0.00166273575936|-0.00279204816294|0.00200989975974|-2.6004375068e-05|0.00434856429149|-0.00458264994233|-0.0018735547903@0.00766054394911
HPQ,"August 9, 2016",4,A1,0.0265945060788|0.00388756701276|-0.012990660149|0.00299300697876|-0.000930148869175|0.00668751642397|-0.00208597760007|-0.00787423007107|-0.00259870261136|0.00523322024052|-0.00225206343169|-0.0145870689414|-0.00841035682505|-0.000594779254668|0.0105723074372|-0.000555492705056|0.00982208273546|-0.0159214883459|-0.00746341853882|-0.00328346591372|-0.00459142881705|-0.00293059544286|-0.0029639364986|-0.00282096126348|0.00892973423484@0.017893521427
INTC,"December 28, 2016",343|23,A1,-0.00494859822641|-0.0123450807292|-0.0210921077088|0.0139361705954|0.00333808996205|0.00902656222899|0.0117879675038|0.0058164835825|-0.00172493622927|0.00967418692317|0.018774279611|0.00419403750713|0.00506820908146|-0.00849890496142|0.0163184289696|0.0074207223908|-0.000731568327849|0.00305050830539|0.00227074656698|0.0028671183267|-0.000918990084407|0.00370484103748|-0.00434489122695|0.00404270377406|-0.00851754201416@0.0132293923731
BBRY,"February 27, 2017",19|382,A1,-0.0118473616306|-0.00885350578593|0.00417484743116|-0.00641215603086|0.00177695330202|-0.00637723985252|0.0064189560831|0.0209595611767|0.01344889414|0.00451082571757|0.00837013690194|-0.00313055981907|-0.00802077061305|0.00258514877668|-0.00301942494544|0.0194423824613|-0.0281124026821|-0.00718065902037|-0.00935816448571|-0.0102589293462|0.00341249065601|-0.013724620419|-0.0257175689184|0.0109365520981|0.000363172365184@0.014521588427
EBAY,"May 23, 2017",29,A1,ERROR
JNJ,"January 14, 2014",5,A1,0.00149474768924|-0.00395017573604|-0.00664800748856|0.0113682335698|-0.00714604171033|-0.00274034705387|-0.00431987529018|-0.00156467646529|0.00167815583543|-0.00267561872401|-0.00109999800665|-0.0110470731674|-0.00133070990615|0.0084092265275|0.00620456219554|0.0168880125966|-0.00215401299546|0.00501394232027|-0.00208528203875|0.00439715779163|-0.00446297578563|-0.0028509968135|-0.00160362964772|0.00617692638159|-0.0132080169271@0.00492322549991
AAPL,"July 7, 2014",27,A1,-0.0108211558552|0.0105655086834|0.00122093387305|-0.00613957033337|-0.0161960188132|-0.0178006362665|0.00486607623595|-0.00790115392135|-0.00885262409783|-0.00885845639739|-0.0164443522012|-0.00521144494936|-0.00618307799266|-0.00698920477913|0.00192906297328|0.005825306815|0.0060950684128|-0.00313701741451|-0.0057303990971|-0.00230058043588|0.0184321368302|-0.00629040046763|-0.00742960191459|-0.00531450769375|-0.00367522871762@0.0169271022007
BCR,"January 13, 2015",158,A1,0.0118872273034|0.0018312021404|0.00878383021779|-0.00666645500608|-0.0153818211821|-0.0172061216213|-0.00539800830607|-0.00105781916196|-0.00220162745797|-0.0078203039131|0.000612684899273|0.00723545228876|0.00134551238898|0.00636816870499|0.00928642798695|0.0163002950161|0.0134377513739|0.003266141878|0.00434888056235|0.0128386806589|0.000911839835695|0.0112889700603|0.00582294584209|-0.0094180873617|0.00752299005147@0.00915743697316
CME,"April 14, 2015",6,A1,0.0185965632454|-0.00315093482949|-0.0207120369444|0.00818874408078|-0.00950428045077|-0.0110185373851|-0.0121117357544|-0.0218184916484|0.00493621345929|-0.0060103391805|-0.0065839030302|-0.00109481743664|-0.0017745364705|-0.022743573526|-0.0172512971009|-0.0169747200174|-0.00801539354628|-0.00108422163554|0.00812007415752|-0.00129534953199|-0.0133699072504|-0.00709589810272|0.00165585379254|-0.0103033064031|-0.000834540963683@0.0116018511231
MSI,"April 13, 2015",3,A1,0.00143545402997|0.00465478824066|-0.00685996410525|0.00963879745161|-0.00201834471196|-0.000639984984916|-0.00409431818642|-0.000878832367268|-0.00261482528055|0.00197134661547|-0.00343180969382|0.00467184879095|0.0102026696395|0.00182347308216|-0.0682874618273|-0.0229587476782|0.00937358045622|0.00322852076041|-0.00611750426421|-0.00196987298864|-0.00638335089237|-0.0034896038741|-0.00601972155589|-0.0001243369338|-0.0110414944834@0.0118374699176
ABBV,"August 21, 2014",77,A1,-0.00662091225609|-0.00995109505203|0.0107692367556|0.000551113668507|0.00658873367879|-0.000187790890483|0.00740859670992|0.00690127921493|0.00388300493533|-0.0137051127551|0.0150505666643|-0.00652951378869|0.00633527242838|-0.00625475203612|0.00644095466311|0.00571786395419|-0.00429114597122|-0.00231215419371|0.0120200746936|-0.00677764882341|-0.00473964299024|0.00716462465082|0.00639021665396|-0.00217009332317|0.000427827430849@0.0120427338795
ADBE,"December 4, 2014",28,A1,-0.00306243291008|0.00622465824114|-0.00649131463576|-0.0013246831103|0.000402126996467|-0.000678488289155|0.00452176156573|-0.00272818902262|-0.0196123107684|0.00571967681935|0.00399624317922|-0.0060935436624|0.00652699860249|-0.00363220574346|0.0137550484462|0.0116464241019|0.0144265698082|0.012837759119|-0.01129025759|-0.00770534251084|0.00136418750638|-0.00920893008767|0.00665372789942|-0.00388801175806|0.000828592706119@0.014714386004
HLIT,"March 1, 2016",145,A1,0.0117772964791|-0.0278819605465|0.0385146931471|0.0410807618653|-0.0335362728827|0.0377167055633|0.011296030177|0.0247636734615|0.0213256127622|0.0147986942763|0.0417383888374|-0.0567302456558|0.0885697274031|0.0355130976244|-0.0689465609302|-0.0405340055498|0.0439591120819|0.0340816283335|-0.0287326784591|0.117634171093|0.00280020526795|0.0316832720571|-0.00308280660256|-0.0301107708812|0.0200644831643@0.0324162958238
IPXL,"February 1, 2013",122,A1,0.0183419328161|0.00729006987764|0.000390223720106|0.0173168085148|0.0190475176335|-0.0229787217654|-0.00946288525619|0.00111600102709|0.00732608548557|-0.00896188180505|0.0170077610383|-0.0401714363235|-0.0767312664596|0.018172104938|-0.00588885195573|0.0141866154156|-0.000520977548649|-0.0184186607206|-0.0035710787349|0.0242646033342|0.0122610230084|0.00271134223619|-0.0315646415959|-0.00613784964996|0.00757732414707@0.0104521049586
MSFT,"January 18, 2017",5,A1,-0.00251098980746|0.0182388362844|-0.00589144773339|0.002916201665|0.00187046613076|-0.00680779579221|-0.00244014980359|0.00459339379769|-0.00142995672524|-0.0082445682295|-0.00186658625607|-0.0114852621848|0.000650531325689|0.00431433941495|0.000319711779225|-0.00057284844851|0.00559760471883|-0.00661594308343|-0.00142521607976|0.00104647160045|-0.00324445502607|0.000762994745238|0.00261264427563|0.00621069765258|0.00133144365154@0.012735348339
MSFT,"November 8, 2013",2,A1,0.002442189598|0.00409505738974|0.0108154693054|-0.0139611232538|-0.00072313172751|-0.00772153187628|0.000813539399112|-0.0193881439479|-0.0176218966617|-0.00553827277754|0.0519073314643|-0.00655817632591|-0.00840707724615|0.00717655891491|0.000121446107462|0.000260199867084|0.0068621338739|0.0235142850109|0.034470907954|-0.00112024306217|-0.0102433908735|-0.00523386478147|-0.00341968389285|0.0106543972541|-0.010222377052@0.018853731249
GRPN,"February 17, 2017",11|249,A1,-0.0205324810264|0.0223065248628|-0.00614908668654|-0.0189319075162|-0.00574201937207|0.0190720907689|0.0133493161075|0.0231714516657|0.0128259433256|0.0205199626024|-0.0191042734084|0.0281324979396|-0.00602806242992|0.0155217471193|0.00918904562885|-0.0124923366641|-0.0144547587325|0.0556616395535|0.196835906779|0.00882811163718|0.00977747377887|0.00655883585469|-0.0364235567366|-0.0162162182613|0.015537856654@0.0178725916746
CAR,"February 26, 2014",50,A1,-0.0065795006673|-0.00765475538185|-0.0005060114959|-0.00646974078904|-0.0101549659559|0.0365566228699|-0.00476516094827|0.00546353652593|-0.0209298390338|0.00215272627961|-0.0201785237929|-0.0192787330599|-0.0117068258231|-0.0100150822322|2.75607332236e-06|0.0370164675991|0.073645641839|0.0285094015824|0.0136040531695|0.0111701759804|2.11623086742e-05|0.0124930990634|-0.0257279844371|0.00718749059664|0.00535260278697@0.00962832997345
AMZN,"June 11, 2015",101,A1,-0.0137398288807|-0.00607092345629|-0.0199789558269|-0.0100250753489|-0.011656224918|0.00230335351136|0.0102043045332|-0.0096731326764|0.00664313552367|-0.003449227222|-0.0134786585608|0.0113602380444|-0.00277934239092|-0.00220543119964|0.00532435823852|-0.00502701038926|-0.0102636907752|-0.00306091085795|0.00107886067161|-0.00852831694774|-0.00331176624942|0.000156360162634|-0.0122783804748|-0.00314924778658|-0.00482172633685@0.0258524579343
COST,"January 20, 2016",77,A1,-0.0125272709508|0.00551425496561|0.00597840820486|-0.00394374683694|-0.000626440921521|-0.00425290287855|0.00308009817844|0.00179792643064|-0.00470081981966|-0.00770501113759|0.000121243190821|-0.00539045803607|-0.0142516971179|-0.0144702016013|0.0149959236179|0.00355585110707|-0.0162259241747|-0.00169395415265|-0.0105763867454|-0.00163302783897|-0.00703134908223|0.00642056624411|0.011392223711|-0.0141108839866|-0.0226917332219@0.00936698088207
SNPS,"March 12, 2013",6,A1,-0.00673011852451|0.00784115512922|-0.00593315684222|0.00247449466455|0.00729152437156|-0.00202183399394|0.013352357945|0.0318346776739|-0.0232690124133|0.0112923408994|-0.0102126175785|0.00412428069754|-0.00541075660575|-0.0105561369067|0.000205836954405|-0.000108880423072|-0.00529976127325|0.00899144662882|0.00253811196841|0.00365761191557|-0.00546775992784|0.00179881854969|0.00717016182974|-0.0119600338732|-0.00657418927878@0.00967542439384
JKHY,"October 13, 2015",6,A1,0.00337004344954|-0.00124073747438|-0.00123277814819|0.00356390223336|0.00137572492629|0.00172167174122|0.0031520666496|-0.00207273007819|0.00300110403463|-0.00409121057046|0.0041890494|-0.00525955657298|-0.00287436397837|0.00416754254204|0.0020481307013|-0.000869446457863|0.000399386979506|0.00434462816553|0.00292870519363|8.03924492175e-05|-0.0042143359163|-0.00526766183839|-0.00816434783073|-0.00327951841515|0.00530229652996@0.00865020364558
MSFT,"March 19, 2013",13,A1,0.00282949613887|0.00837600315398|-0.00588961340332|0.000485379185092|0.00788338270617|-0.00614541924903|0.00363566169032|0.00301836269721|0.00305622447458|0.00262028319269|-0.00133530389256|-0.00944692743467|0.00105707535332|-0.00835449371588|-0.00751548040515|0.00510359531174|6.82682808347e-05|0.00334044945139|-0.000891651622181|0.00936653811815|0.00659851302117|-0.00133969393163|0.00308239108248|-0.00245381789575|0.00257884261112@0.00896856363972
AAPL,"July 14, 2014",97,A1,-0.0194501233476|0.00359723417932|-0.00950461048806|-0.0112339569208|-0.0101781886556|-0.0179196745369|-0.00628655611692|-0.00627481156196|-0.0088899469964|0.000924204830156|0.00436463919984|0.00505503543188|-0.00540831812518|-0.00703193284081|-0.00426930802912|0.0179024046168|-0.00631212872725|-0.00932429060852|-0.00576241859744|-0.00503843774798|0.00259326977878|-0.0157681270012|-0.0147175858819|-0.0133032478068|-0.000617448670398@0.0167492540802
SLAB,"November 8, 2016",5,A1,-0.0117949198783|0.00279468701848|-0.0161056207384|-0.00173166348555|-0.000383626067509|0.0189971799284|-0.00428932396752|0.0039914963926|0.000181405317364|-0.000360121189294|0.0606906467131|-0.0283507968637|0.0170542068434|-0.0234061440716|-0.00849237113248|-0.00350565417928|-0.00945609125974|0.0116837989053|0.00638243504823|-0.00761874578491|-0.00745530557452|0.0085697496471|-0.0122136303982|0.0346794584334|0.00192815732108@0.00907493179208
MS,"January 27, 2014",54,A1,-0.00578614477144|-0.00194722587181|-0.00727387297373|0.00825903194991|0.00375240767694|0.0148617913987|0.00728319623874|-0.0134989698198|0.000181838898145|-0.00208548141578|-0.0129581256301|0.00639197599363|-0.0102913545357|0.0262181771052|-0.00556039355099|0.0487103225364|-0.0286661534103|-0.0122396393966|-0.0132705585205|-0.000247104281883|-0.00891412160492|-0.00471576155531|0.00969985392104|-0.0159182206353|-0.00734827390816@0.0092325204523
BBBY,"January 24, 2017",11,A1,-0.096480445427|-0.0199265812852|-0.00122853622379|-0.00036498639379|0.0045951097104|-0.00296854012228|-0.00776606103616|0.017789749031|-0.0251912011521|-0.0217162787421|-0.00205749804098|0.00477379313919|-0.0108183553153|0.00805530666571|-0.00559676882007|0.00783729862776|-0.00741719803852|-0.00212928337736|-0.0135576656086|-0.0165296704829|-0.00654183280978|-0.00796948923486|-0.00449336391364|-0.0169583684547|0.0130665630224@0.0170625401191
SPLS,"February 8, 2016",3,A1,-0.0104573904741|0.00163559141436|-0.0016910718843|0.0250448314558|-0.0280487605056|0.0235387368982|-0.0171162156346|0.026042291477|0.0192201489883|-0.0223158838491|0.00160279409287|0.0075049508314|0.0326865132433|-0.0164530309099|0.00131770850245|-0.00166150935108|0.000269879348267|0.0169698195382|0.0141484731268|0.0530241995893|-0.0154894044874|-0.00976248186822|0.0114149042443|-0.00136131015157|2.22938921411e-05@0.0299968416455
V,"August 13, 2014",5,A1,0.00137579812088|-0.00730072068137|0.000655444531671|-0.000803981420869|0.00589514942767|-0.00123293923522|0.00842260350453|-0.0295988796693|-0.0014793264392|0.00303668769154|0.00398881710307|0.00970699226388|0.00878007061505|-0.00492941312751|0.00487591203894|0.00190079449107|-0.000191638867437|-0.00467328979833|-0.0011551438206|0.00178471757016|0.00692216740253|0.00136592145596|-0.00925224815877|0.0115801193625|-0.00116696790077@0.00458714270364
PFE,"February 6, 2014",94,A1,0.00890811056693|0.00095308931367|-0.00856085447985|0.0128241262846|0.0048593237406|0.00196952686577|0.00352189932202|0.00464477673255|0.00347245614289|0.0028822518388|0.00344288633812|-0.00301341563883|-0.00638361147202|0.0208362704358|0.00318471072073|0.0135538169927|-0.00462798019397|0.0350333194611|0.0214190438236|-0.0133541292544|-0.00650646474839|0.000456200933384|0.00821958977483|0.00280115270284|-0.00672313109491@0.00681335547126
HPQ,"May 26, 2016",175|583,A1,0.00100787839546|-0.0153500918943|-0.0294251597894|-0.0191346691353|-0.00114407091994|-0.0134982012591|0.00332377870351|-0.0172324505354|-0.0101366259269|0.0234249380714|-0.0134727635909|0.0100969078287|-0.0087201122574|0.00702149978077|0.00116875900955|-0.00627267041365|0.00507377301683|0.00178500513472|-0.00642006709899|0.00918277658883|0.0643034533413|-0.000149792545596|0.0177995336609|-0.00123242285456|-0.000223309099659@0.0110621448502
AMZN,"April 14, 2015",7,A1,-0.00328580886953|-0.011673727974|-0.00187662804769|-0.0126295659528|0.00403450695973|-0.016989534044|-0.0100852706003|-0.0141374913906|-0.0177209847634|-7.43077295035e-05|0.000288184534911|-0.0134715174528|-0.0126925499349|-0.00364684144043|0.00322249720175|-0.0148943697941|0.00900486009759|-0.00303393112949|-0.0116602788626|-0.00831696139952|-0.00154116370456|-0.0134846940855|-0.0015842985058|-0.0338271169282|0.0264830695624@0.0276408285992
BWA,"June 10, 2014",5,A1,0.0157930400918|-0.00592833251582|0.000563769829238|-0.00563828509406|0.00499640182256|-0.00229883792965|0.00176583577064|0.00321046330185|0.00528641691247|0.0109307568534|-0.00785797499976|0.00574513673757|-0.00582104384713|-0.00199017711983|0.00471402841719|0.00875226812884|0.00568177289887|0.000153450657964|0.00691311482373|-0.00551581591432|0.00235061164628|0.00652420741061|-0.0117794975712|0.0046678937583|-0.00106438622658@0.00901710466199
SQ,"October 16, 2015",11,A1,ERROR
