Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-60,-30)_[-20,5)_NBS"
INTC,"January 14, 2014",4,A1,-0.00719654103218|0.00405282885589|0.0100498848452|0.0125902232605|0.000234127223647|-0.00552403596045|0.00818632286506|0.00353926665786|0.0085360480437|-0.00373688956367|0.00992622043311|0.00236967471363|-0.00232234301971|-0.000179474785374|-0.0111137293776|0.00261877124756|-0.00622674552869|-0.00487065529196|0.00763298292827|0.00467813465112|0.034356861331|0.00386195100643|-0.00419285770759|-0.0243953192865|-0.0112236408417@0.0135771436541
ALG,"May 26, 2016",217|231,A1,-0.00314358143396|0.00352376745043|-0.00522046931202|-0.0230833131438|-0.000551709122637|0.0134513639248|0.003354865628|-0.0163074065206|0.0104688313204|-0.00594643758573|-0.00861310323049|-0.0125560753403|0.01378197767|-0.0234693588304|0.00852440884862|0.0651205021934|-0.00294824878828|0.00520608668707|0.0301478455552|-0.00215319507442|-0.00790601622964|0.00449101706839|0.0119843172463|-0.00540733330265|-0.00207552260085@0.0216255430783
HPQ,"July 9, 2015",141,A1,-0.00976582798889|-0.0174724094991|0.00896455413715|-0.0150484188329|-0.0110888390173|0.0146196580627|-0.0213000479711|-0.00172625902969|-0.0118073491394|-0.0036390367354|0.00885477850874|-0.00578388694447|-0.0219817191258|0.0160240583885|-0.00236614997786|0.00347453288913|0.0067931532846|0.000496316596183|-0.00306547558184|0.0160900306143|-0.00520655473227|-0.0122955675879|-0.0153601099322|-0.0148846039845|-4.83861843408e-05@0.0119260753566
LLY,"July 8, 2015",75,A1,0.0528815698554|-0.00618488161338|0.0371990978317|-0.0206423412407|0.00251033996349|0.00323541302409|-0.0163317307536|-0.0155342254272|-0.000749858042362|-0.00124579425544|-0.00364736381242|0.0018867548358|0.0332958738726|0.0125190584759|-0.00453202208081|-0.00539050887026|0.00871867457038|0.0159812847846|0.00513766189161|0.021354970929|-0.00094640418654|0.000975126793233|-0.00246300590133|-0.00425666374343|-0.00469321303445@0.00689488047846
UEIC,"October 17, 2016",370|13|264,A1,0.00896513088986|0.00874908658698|0.0220669632876|0.00813601080215|0.00343396408775|-0.0163484041712|-0.00204334420459|-0.00876227536632|-0.00754509518415|-0.0144650603901|-0.00549463900475|-0.00348628665504|-0.0149203150525|0.0107446918923|-0.0126110916315|-0.000195297735452|-0.0169237641517|-0.00479338693308|-0.00541804154536|-0.0103340766343|-0.0034385402699|-0.00855830075068|-6.17819394704e-05|-0.00779053609041|0.00971908247109@0.015397808215
CSCO,"August 8, 2014",4,A1,0.000558051080494|-0.00533519259853|0.00607466717641|0.00966781866828|-0.0175011105082|0.00921475754671|-0.00524392881329|0.00159437228279|-0.0129517794543|0.00310234815517|0.00218120084099|-0.00461136581598|-0.0113182084661|-0.00582766434748|-0.0205688588732|-0.012209180181|0.00481161725627|-0.0117367083052|-0.00429731570442|-0.00611395899928|0.00530581455295|0.00553770552708|-0.00605083688141|-2.67405020728e-05|-0.028767890723@0.012665243931
EVBG,"August 30, 2013",51,A1,ERROR
XLNX,"October 9, 2015",2,A1,-0.00338454922167|0.0232897063856|-0.0086160498877|-0.00671816622336|-0.00607066110243|0.005638948375|-0.0142572133701|-0.00148348638454|-0.00656773052628|0.0136809428315|-0.00349630407968|-0.00435080822916|0.00457548726756|0.0116864161927|-0.0178611319502|-0.00688541875577|0.00785533316745|0.010856714898|-0.00155716785513|0.00274969696428|-0.00811903463388|-0.00786598159466|0.000265577305383|0.0233056669234|0.000202175837221@0.011664555126
ATHX,"May 7, 2015",37,A1,-0.0581468875906|-0.00974340932056|-0.00567175187332|-0.0402774265484|-0.14391301554|-0.203079260046|-0.449852898451|-0.058786994975|-0.0296693558527|-0.0117999261185|-0.0325460195376|-0.0403519931963|-0.0601523766103|0.0296270053412|-0.0281821215673|-0.0648142092951|-0.0575800680319|0.0408394795312|0.0328067843232|-0.077093612684|-0.0269721421833|0.0706811493458|0.0472131772046|-0.0425969731585|-0.0535155502314@0.0327058939572
SUPN,"December 12, 2016",4,A1,0.0639277309254|0.104370063548|-0.0117851881018|-0.00504884757992|0.035572916498|-0.0929871085914|-0.0152773342558|-0.0436453795003|0.047481207065|0.0151977043044|-0.029128909549|0.0273341522982|-0.0200480315709|-0.00331036359057|0.0342342006399|0.00710395420928|0.0298965523923|-0.0523002127613|-0.00806923647522|0.0197428862265|0.0171413512994|-0.0150473569879|0.0128127354308|0.0306807760274|0.0149199112113@0.0270171106089
