Stock_Ticker,Decision_Date,Last_Filing_Days,Category
INTC,"September 30, 2016",11|452,A2
TXN,"August 13, 2015",71|141,A2
BWA,"December 12, 2016",70,A2
CSCO,"September 23, 2016",80,A2
MSTR,"April 3, 2015",203,A2
NVS,"June 18, 2015",63|594,A2
HLIT,"March 1, 2016",145,A2
ATVI,"September 13, 2016",130|578,A2
SHLD,"July 30, 2015",65,A2
BMY,"June 12, 2014",189,A2
DD,"August 19, 2016",72,A2
CSCO,"August 29, 2013",146,A2
HPQ,"April 5, 2016",68,A2
NVS,"April 12, 2017",112,A2
IBM,"August 13, 2015",71|141,A2
TG,"August 6, 2013",-37,A2
GLW,"September 16, 2015",5,A2
IBM,"October 2, 2013",209,A2
BSX,"May 13, 2013",6,A2
WMT,"July 30, 2015",65,A2
NUVA,"May 10, 2017",253|2,A2
LLY,"February 28, 2017",113,A2
JKHY,"October 13, 2016",8|349,A2
MSFT,"April 20, 2017",13|470,A2
MSFT,"November 17, 2016",134,A2
AKRX,"March 17, 2017",37,A2
PINC,"December 19, 2014",39,A2
MNTA,"June 18, 2015",594,A2
FDC,"July 31, 2015",85,A2
ALLY,"February 21, 2017",43,A2
AAPL,"February 14, 2017",33,A2
PKI,"July 31, 2015",85,A2
TILE,"February 8, 2016",4|264,A2
CSCO,"August 18, 2016",98,A2
AMZN,"February 9, 2015",66,A2
RAD,"July 31, 2015",85,A2
CSCO,"June 16, 2015",133,A2
GE,"February 21, 2017",43,A2
NOK,"September 11, 2015",1225|64,A2
TDC,"December 19, 2014",39,A2
INTC,"August 13, 2015",71|141,A2
ORCL,"October 2, 2013",209,A2
AAPL,"August 13, 2015",71|141,A2
MSFT,"May 12, 2016",97,A2
SHLD,"April 10, 2015",63,A2
GE,"December 17, 2015",7,A2
AMPH,"November 10, 2015",57|187,A2
CAJ,"February 2, 2015",3,A2
NVS,"May 21, 2015",45|192,A2
NVS,"April 4, 2017",386|22,A2
HPQ,"August 10, 2015",5|210,A2
DGLY,"February 10, 2015",4,A2
SUPN,"August 7, 2013",16,A2
AMTD,"August 30, 2013",114,A2
MSFT,"April 1, 2016",437|59|14,A2
ADI,"August 13, 2015",71|141,A2
ILMN,"July 26, 2016",83,A2
NUVA,"August 9, 2016",34,A2
NK,"May 3, 2017",83,A2
IGT,"March 13, 2013",22,A2
CSCO,"September 16, 2014",139,A2
IBM,"March 27, 2017",20,A2
BONT,"February 10, 2015",97,A2
DE,"May 26, 2016",217|231,A2
EBAY,"October 2, 2013",209,A2
ORCL,"April 3, 2015",203,A2
MT,"May 16, 2017",193,A2
WILN,"December 11, 2012",6,A2
ODP,"July 31, 2015",85,A2
ORCL,"November 17, 2016",14,A2
IBM,"February 8, 2016",5,A2
MSFT,"December 16, 2015",14,A2
TNAV,"November 18, 2014",223,A2
NUAN,"February 22, 2016",587|74,A2
SYMC,"February 2, 2016",116,A2
LYV,"November 29, 2016",235|438,A2
AAPL,"September 30, 2015",55,A2
MU,"August 19, 2016",71,A2
ATHN,"March 10, 2017",2,A2
ATRS,"November 17, 2014",48,A2
HON,"February 5, 2013",62,A2
DEPO,"February 21, 2017",75,A2
FISV,"May 12, 2016",97,A2
USB,"February 21, 2017",43,A2
SBUX,"November 29, 2016",235|438,A2
NTAP,"August 9, 2016",4,A2
