Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"SM_[-60,-30)_[-20,5)_BS"
CSCO,"April 7, 2017",2,A1,0.000163461258411|-0.00774578907625|0.000903427736925|-0.00587615614141|-0.00142889473307|-0.00130122633851|-0.000356195479006|-0.00433603880983|0.00196921752678|-0.00595305614127|0.00142250550141|-0.00451528778401|-0.00744035146972|-0.0116640193708|-0.00514919941045|0.000921694944027|-0.00784454460422|0.000430292849436|-0.0126985506139|-0.00243792750241|-0.00551054795083|-0.00161928841651|-0.00447353933961|-0.0084031097895|-0.00374253589195@0.00764094923448@-0.0124704691947|-0.00436750053165|-0.00346027579979|-0.00258408333825|-0.00305897856374|-0.00144496194955|-0.0015349009717|0.00499147309204|0.00319006268905|-0.00612599708138|-0.000553933644148|0.00633034599567|-0.00267596687085|-0.00617707158042|-0.0101667207616|0.0188654253696|-0.00354539642066|-0.00191539621862|0.00207553723012|-0.00943172018419|4.66550300065e-05|-0.00542356747507|0.00759109052283|0.00479972735765|0.00893166940279|0.0214805113124|0.000259155584132|0.00419348020624|-0.00315157932783|-0.00466661387834
ZNGA,"March 17, 2015",14,A1,0.0312650056912|-0.00743384333008|0.00159583277112|-0.00595379612637|-0.00299970439471|-0.00443640390862|0.00164293884408|-0.0111189088935|-0.00576099895495|0.00255433449227|0.0117634496113|0.0158473536643|0.0047377154656|0.0563008882355|-0.00506320636712|0.00874948176861|0.0213193339953|0.0173048378012|-0.0342602376195|-0.0172216172214|0.0176360236763|-0.00883195637159|0.0105222855443|0.0113851980403|0.0198514387946@0.0279516393537@0.0172935924553|0.00585451583451|0.0961375824479|0.034650879322|-0.0362713316661|-0.00679787391866|-0.0194912274422|0.0221637444993|-0.00779916212432|-0.0205640684458|0.0231655169163|-0.00163107944056|-0.0022006552629|-0.0164762774428|-0.0495793648415|0.0238019618563|-0.00687964976827|-0.0248767560345|0.0153565804653|-0.00248307660743|-0.00165994356526|0.0035378767054|-0.020822865816|0.00132849811722|0.0407107873111|-0.0264195845406|-0.000416167165632|-0.0273794666879|-0.00750613859534|-0.00474684656475
FB,"May 17, 2016",1|13|435,A1,0.0134012335196|0.000522902867385|0.0155806739413|-0.0252717261363|-0.00177374386463|-0.0134820613124|-0.000688829906524|0.0802893326034|0.0138269595882|-0.000132951742282|0.000677441204532|0.0121263848265|-0.00145509352393|0.0104694675224|-0.0025854229201|-0.00303175478639|0.002916668235|0.00645373425879|0.00643578990692|-0.0202285605899|-0.000126987987651|0.00266565294168|-0.00279267603642|-0.00207182319385|-0.00984207954011@0.010826088527@0.00863861730534|-0.00116049067727|0.00865144316464|-0.00211067327789|0.00166280168353|4.69275770715e-05|0.000905691363255|-0.00344661566415|-0.00735487885555|-0.0141517155992|-0.0253064053199|0.0147599070819|0.0096717545318|-0.00223254158759|0.00161108054556|0.00627382163803|0.00936312629517|0.00746429509168|-0.0171087617985|-0.000129579014843|0.00242180185893|0.0046222297487|0.0105192253395|0.00546695567747|0.00542062654477|0.0113425786143|-0.0169880255254|-0.00205022206106|0.0097915376195|-0.0265945122998
F,"April 21, 2017",25|305,A1,-0.00496977433467|-0.00121624970117|-0.0103605809156|0.0081704572368|0.00328574649127|-0.00248002994687|0.00192867379251|-0.0128111480067|-0.00500076701555|-0.00344214798598|-0.00106319422847|-6.08347992255e-05|0.00297609986309|0.00640048148102|0.00384958035115|0.000571756181365|0.00467821502988|0.00719414217773|0.00914024027263|0.0152238467022|-0.0048133465598|-0.0056145776532|-0.00184675722914|0.0133372011973|-0.0104199056529@0.00898481826103@0.00395427355465|-0.0298576955471|0.0139330691105|0.00124091930479|0.00135984333385|-0.00176069101457|-0.00214596412516|0.0148148186118|0.00139965547622|-0.0125002201622|0.00341657320012|-0.006372939798|0.00688562418445|-0.00169065534498|0.0035099802031|-0.00694736181415|-0.00389611458307|0.00298703754858|0.0023011606055|0.00173030157718|-0.0076395612487|-0.00695214548428|0.0149431512897|-0.0044324503867|-0.00504658607569|0.00866534751289|0.000357751306909|-0.00404272325774|0.00149585924461|0.0102897427775
INTC,"June 6, 2014",21,A1,-0.0028314049062|-0.00510093815903|-0.00697754535475|-0.00011192857939|-0.00351971085977|-0.00819458620786|-0.0123689065957|0.00329966072128|0.00219154607912|-0.00255035793335|-0.00618392581226|-9.53612711474e-05|0.00884358271502|0.00440455913301|-0.00331860639567|0.00959549177589|-0.00552116540861|0.0124699096009|-0.0061437903399|-0.00510961595604|0.0122662103794|-0.012508069722|0.00919896169163|-0.0109458464053|0.00384098965912@0.00770207022936@-0.00146476248454|-0.00185503241|-0.00325610110574|-0.000999046568117|-0.00288650812796|0.00949217550205|0.00947375443742|-0.00988640617893|-0.00140778210001|0.00746741077571|-0.000295895058344|-0.00368308152745|0.00606177901175|-0.00111867798353|-0.000411085063007|-0.00880238645643|0.0183842536747|-0.00320778945887|0.0182635444309|0.0102117861416|-0.00777976518202|-0.00739665163317|-0.00530051585229|0.00613477218303|0.000326309389708|-0.00421874378437|0.000565364489545|-0.00838476657634|-0.00991876162659|-0.00410739085867
FDX,"May 9, 2017",4,A1,0.00059680329044|-0.0117383141442|-0.0282718281904|-0.00404176114084|-0.00157686199363|-0.00544843269992|0.00314198881472|0.00539407253695|-0.00116568977656|0.00323023255566|-0.00501844886515|0.00495629996239|0.0108696911442|-0.00665172713147|-0.0104115168059|0.00457856040092|0.00724435339091|0.00589700080974|0.00182073110748|-0.00573911796023|0.000459128350815|-0.00709505333582|0.00942615019548|0.00746900458668|0.00926183822277@0.00954213433038@0.00746603387004|0.00224811340089|-0.00524397581268|0.00505254281307|-0.00476123971614|0.000483347110657|0.00115459122445|-0.00576899146324|-0.0138451004891|0.00914570756173|0.00519710476661|-0.00256580646616|0.00431797425015|-0.00419504276567|-0.00186338463239|0.00293905173849|-0.000365043265631|0.00349105687479|-0.00720290843497|0.000387440733804|0.00519571210082|-0.00286976072326|-0.00132068268982|0.00281637967592|0.0109345745404|-0.00961050559941|0.0165542034448|0.0186437827241|-0.032612373429|-0.0038028013434
ODP,"June 30, 2015",110,A1,-0.00624001675192|0.00540574775588|0.00611448271799|-0.00146820446943|-0.0116538878086|-0.0025438555407|0.00280392099099|-0.00577859593362|0.00778145776947|-0.0119506966265|-0.00285039282926|-0.00704852297672|0.0138344797674|-0.00415453230755|-0.0070498480721|0.0068034583933|-0.0190995963554|-0.000767730238597|-0.000355285482668|-0.0143540855938|0.0062570648366|0.00584836907696|0.0126051643244|0.00699656002972|-0.00338625137559@0.00794354318685@0.0060750301873|-0.00304468141091|-0.00260389947099|0.00321712445288|-0.00285380407757|-0.00183737213794|0.0112804134091|-0.0108436500821|0.0179845109928|-0.00796579221776|0.0066025558173|-0.00178791149949|-0.0121884482431|0.000113302351157|-0.00300363319043|-0.00536081586298|0.00513610619406|-0.00431440723834|0.0147588008416|0.00449407558874|0.00523714963419|-0.00696819995755|-0.00211770998698|0.00890961729062|-0.00240550477627|0.00480286922343|-0.00170644751878|-0.0102707487557|-0.0147538856127|0.00541535605647
ADSK,"April 12, 2016",4,A1,0.0054870702422|-0.00222292068248|0.00314981592292|-0.00770632441877|0.00793664866276|0.00542582433446|-0.000665179071757|0.00117821465584|0.00383811665962|-0.00389095747741|0.00513933583219|-0.011595674804|0.0129423825128|-0.0193943982428|0.0145396143072|0.000337093313943|-0.00548594742005|-0.00181355972763|0.00354776357306|0.00768362017033|-0.0312354593532|0.0157659390291|0.00798261972931|0.00942907175574|0.00178947820974@0.0270125958404@0.00784836833195|-0.0244344517935|-0.0379582313266|0.0305201432114|-0.00863275380365|-0.00957517669848|0.00621573395138|-0.0124718536628|-0.020036490913|-0.0339219106561|-0.00639890482723|0.0198735498637|-0.00444260818285|0.0682535107495|-0.00205021958886|-0.0348365980054|-0.0355575953024|-0.0172364836081|0.0281838833478|0.0137887696746|0.00396337425267|-0.0279994138202|0.0124816219935|0.0316654606069|0.0467294293229|-0.0144607047894|0.0105070831285|-0.0165533970101|-0.0143207573944|0.0408566229483
EA,"December 7, 2016",33,A1,-0.000849631162032|-0.037432202269|-0.0378172377348|0.00947482215677|-0.016091805048|0.00692774373581|0.015957165314|0.00344352358032|-0.00709504327732|-0.018211497331|-0.00988589615279|0.018431416297|-0.00737833846467|-0.00225497383357|0.0296374929907|-0.0255141514043|-0.0449964349301|0.001802476816|0.0133504997896|-0.0120773840389|-0.000454993771719|-0.00602614491758|0.00496996758023|0.0232246001085|-0.00631939282997@0.00957282035132@0.0134759509264|-0.00151295741576|0.0195901352522|-0.00328996307076|-0.00303036968721|0.00121366048384|-0.00682417334402|-0.0112844057635|0.0171282400313|-0.00230869545868|0.0125638859284|-0.00870186112007|-0.00103745981331|0.0045172331265|0.00113341614678|0.00547818770407|-0.00686766304624|-0.0125576493327|-0.00709963070851|0.0044397780506|-0.00496639447511|-0.0128335099467|-0.00748236452428|0.00818954535374|-0.00118568669307|0.0126768594599|-0.0190519772041|-0.00242723373324|0.00237063963035|0.0096844632431
MSI,"April 13, 2015",3,A1,0.00143545402997|0.00465478824066|-0.00685996410525|0.00963879745161|-0.00201834471196|-0.000639984984916|-0.00409431818642|-0.000878832367268|-0.00261482528055|0.00197134661547|-0.00343180969382|0.00467184879095|0.0102026696395|0.00182347308216|-0.0682874618273|-0.0229587476782|0.00937358045622|0.00322852076041|-0.00611750426421|-0.00196987298864|-0.00638335089237|-0.0034896038741|-0.00601972155589|-0.0001243369338|-0.0110414944834@0.0118374699176@-0.00164926570781|0.000828176816177|-0.00133466245982|-0.0031640041345|-0.000490128830841|0.00343796189216|0.00521563063169|0.000644490772115|-0.00220821022305|-0.00780053319267|-0.00848468782946|-0.0134156318795|-0.00441412251277|0.00648924800588|0.000946643239108|-0.00806188255676|0.0114672860542|0.0496991949718|-0.00296932466612|0.00365679187187|0.0120173844256|-0.00555697032464|-0.00396862645487|-0.0107211333564|-0.00173237797122|0.00575822433533|-0.0182192659904|-0.0047162671126|-0.00779103395836|0.00653709614592
