Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
BWA,"June 10, 2014",1,0.10872091510234455
EA,"April 6, 2017",1,-0.006764377464107928
HPQ,"February 2, 2015",0,-0.10500075540861739
NOK,"September 11, 2015",0,-0.01364684664521869
CELG,"July 14, 2016",1,0.0071996267043090865
FB,"September 9, 2016",0,0.042255998230815994
DD,"May 9, 2014",1,0.008553376167854084
HON,"March 14, 2016",1,0.07684386865180896
NVDA,"February 24, 2015",0,0.06767244922953461
DE,"February 20, 2013",1,-0.006507569033609518
FB,"November 13, 2015",1,0.11838493984162515
BBBY,"April 7, 2016",1,-0.04897533839659168
IMMR,"June 21, 2016",0,0.04473589384139156
AAPL,"August 12, 2015",0,-0.09695094104672891
DGLY,"January 13, 2017",1,-0.10414025925259712
PHG,"December 11, 2014",1,0.042365899652010305
WILN,"January 17, 2017",0,0.06291369806772543
COST,"March 19, 2013",1,-0.0048073679204058235
UEIC,"October 17, 2016",1,-0.0368243613880505
ABT,"April 4, 2013",0,0.04649400190807884
CSCO,"December 3, 2015",0,-0.04175450103966907
RAD,"July 31, 2015",0,0.06334875300198273
MSTR,"December 19, 2014",0,-0.005523536932245027
NUVA,"May 10, 2017",1,-0.019758510331736787
RTEC,"October 21, 2015",0,0.05060368115209976
MSFT,"April 7, 2017",1,0.015330657189861418
AMZN,"November 9, 2015",1,0.20008614776084838
HPQ,"April 5, 2016",1,0.0902320648685721
MU,"November 16, 2015",0,-0.20972053098206925
AAPL,"November 29, 2016",0,-0.013966086185113594
ADBE,"October 2, 2013",0,0.13344963252728195
TXN,"February 12, 2016",0,0.01870553579308681
ALGN,"November 10, 2015",0,0.15828370202858189
LH,"July 26, 2016",1,0.061486508775245884
GE,"May 8, 2014",1,0.029841355705337642
NVS,"June 12, 2015",1,0.0008761916564514827
FNSR,"January 11, 2017",1,-0.15021748912530544
HPQ,"July 7, 2014",1,0.008569955703761636
TGT,"March 19, 2013",1,0.07865818884914946
TWTR,"September 9, 2016",0,-0.01801850454775072
ADBE,"April 7, 2017",1,0.08194609059022709
CAT,"July 9, 2015",1,-0.052793440947316146
ABBV,"July 21, 2015",0,0.02621397010131229
FISV,"May 12, 2016",0,0.049317067855092746
EBAY,"March 19, 2013",1,-0.12355362264850431
OSTK,"May 10, 2013",1,0.6907951606595146
GILD,"April 22, 2014",0,-0.006542742869828526
NVDA,"January 14, 2014",1,0.016410074652603038
XLNX,"April 27, 2015",0,0.07025954068303003
NVS,"April 12, 2017",1,-0.014763374063422308
USB,"September 25, 2014",1,0.003765674746934767
AMZN,"May 23, 2017",1,0.06739217928258107
BWA,"December 12, 2016",0,0.17724836436787864
YHOO,"June 20, 2014",1,0.009270025692678305
TDA,"May 6, 2015",1,0.016529350508282845
AAPL,"July 22, 2016",0,0.039804165141234214
HPQ,"July 18, 2013",1,0.03362631013088878
ATHX,"May 7, 2015",1,-0.955511445027436
HSNI,"July 31, 2015",0,0.04049812847263319
AMZN,"March 19, 2013",1,-0.027536180298812586
FB,"November 17, 2016",0,-0.11186335010055781
BDSI,"August 10, 2016",1,-0.11689375147149923
