Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"MM_[-60,-30)_[-20,5)_NBS"
CSCO,"April 7, 2017",2,A1,-0.000289856930198|-0.00653086938988|0.00268729547187|-0.00596349227271|0.000762678448862|0.000189300973132|0.000502113675614|-0.00267537147986|0.00164413325851|-0.00217862916457|0.00241266892755|-0.00372238058984|-0.0056809050829|-0.0106515766847|-0.00130348224166|0.00246793985733|-0.0093188829357|0.000402504733332|-0.0135555002721|-0.00107073659958|-0.0063834347125|-0.00187917728497|-0.00302009882356|-0.0108269959028|-0.00458819318612@0.0078961776918
ZNGA,"March 17, 2015",14,A1,0.0315168535644|-0.00953878854558|0.000789370346661|-0.00692521646642|-0.00351185526516|-0.00210301992871|2.07346485338e-05|-0.01171036498|-0.00497820873022|0.00188605594639|0.0127547492995|0.0148555924226|0.00373505001301|0.0574764056143|-0.004449977686|0.00778934392271|0.0230124271403|0.0197198164001|-0.0341184551786|-0.0184084797132|0.0179480161711|-0.0084110508243|0.00777023540179|0.0136467748318|0.021107967422@0.0290309240168
FB,"May 17, 2016",1|13|435,A1,0.0230432978917|0.00402364569473|0.0126411401994|-0.0166684054893|-0.00493973879243|-0.00424074743093|0.00586477244749|0.0825452233819|0.0171768275317|-0.00387447467795|-0.00392093103888|0.013589494959|-0.00334151852068|0.0119579445235|-0.0108982655468|-0.00401948730226|0.00713731819049|0.00513577597731|0.0043871221807|-0.0217681764576|0.00063143769199|0.00873437712029|-0.00672736119416|-0.000645817036877|-0.00965162583116@0.0100161866276
F,"April 21, 2017",25|305,A1,-0.0113541339867|-0.00385038378313|-0.0171136725541|0.0136624331732|-0.000800235304469|-0.0029521306596|-0.00543984022192|-0.00708126995018|-0.00484043192213|-0.000616955983588|-0.00719379261089|-0.00507587103543|-0.00023117202974|-0.00334931329323|0.00531491310103|-0.0040821363281|0.00513580448296|-0.00032269226571|-0.000625011878051|0.0129145386553|-0.0104487677102|-0.00391418295929|-0.00493858658674|0.00516516559969|-0.01280756159@0.00853348084462
INTC,"June 6, 2014",21,A1,-0.00580613423324|-0.0011841709607|-0.00266017008052|-0.00338577183021|-0.00467595048501|-0.00372360451874|-0.00999242150472|0.00515354904262|0.00108405996608|-0.00401684467177|-0.00328210245424|0.00268423396183|0.0116185228879|0.00344443973879|-0.00401992382211|0.00737825613574|-0.00849795564958|0.0117346080389|-0.00506868269605|-0.00011189579876|0.0139369717312|-0.00768610821006|0.00955710549881|-0.00954394275944|0.00544634041352@0.00773688339448
FDX,"May 9, 2017",4,A1,0.00189008544805|-0.00577386152625|-0.0349201656576|-0.00803862400543|-0.00253332011881|-0.00431093327008|0.00112289694454|0.006912453691|-0.000681357226697|0.00243865154542|-0.0077872269812|0.00809181678942|0.00137634915517|-0.0131618264591|-0.0107650206157|0.000984005260633|0.00910513876181|0.00359416225692|2.74690342964e-05|-0.00288475071027|-0.00544083737907|-0.00686239012397|0.00859964078525|0.00118820641862|0.0104800195754@0.00889507457182
ODP,"June 30, 2015",110,A1,-0.00568792243187|0.00636112812378|0.00574707751879|-0.00116024990151|-0.0115280476258|-0.00287733173302|0.00389233795321|-0.00515596113957|0.00747686834045|-0.0118144529601|-0.00242466217383|-0.00812705376178|0.0146178636967|-0.00345163330284|-0.00733065560642|0.00741894869657|-0.019059278912|-0.000617383634387|4.11511795455e-05|-0.015716058601|0.00564322213825|0.00589901020311|0.0115967312378|0.00715989909626|-0.00357920233127@0.00829941528706
ADSK,"April 12, 2016",4,A1,-0.00294315451457|0.0174942849415|0.000330842267436|-0.0104869524364|0.000664662021739|0.00420778813839|-0.00536098298506|0.0121244357552|-0.001187822346|-0.00251776951417|-0.022238880264|-0.00832726676365|0.00255430724648|-0.0224291599562|0.0112026127985|-0.0026986131526|-0.0154199934071|-0.00310503175638|0.00990219677396|0.0188765285766|-0.0237466369857|0.00919136928619|0.0118457691831|0.00347150942748|0.0004096646522@0.0246280785828
EA,"December 7, 2016",33,A1,-0.00330522349962|-0.0302611484573|-0.0203276481847|0.0103893090815|-0.00346532293843|0.00534376415153|0.0107857999424|0.000802943993795|-0.003187897495|-0.0199258535298|-0.00488866821692|0.0197709357833|-0.0110815122042|-0.00106034551839|0.0283465523529|-0.00573492237842|-0.0278290799443|-0.000765240019702|0.0153000735842|-0.0111867309009|0.00139953271446|6.44777127933e-05|0.00551501834912|0.0215396707484|-0.0108080615156@0.00871972322846
MSI,"April 13, 2015",3,A1,0.000649675009523|0.00698921251287|-0.00753245382117|0.0105297370874|0.0020170046806|-0.00222073875663|-0.00544552373851|-0.000317505826184|-0.00853833016251|0.00163280907875|-0.000906919028775|0.00508349578007|0.00716952377017|-1.71150851039e-05|-0.0697065830006|-0.0220169371052|0.00898891046098|0.00636272744467|-0.00628710014883|-0.000425504472457|-0.00811559228553|-0.0040838604423|-0.00807163699505|0.000692829212288|-0.0129611610661@0.0120493932086
