Stock_Ticker,Decision_Date,Last_Filing_Days,Category,"MM_[-60,-30)_[-20,5)_NBS"
INTC,"April 25, 2016",21,A1,0.000568471436865|0.00522177815697|0.00642875410297|-0.00825259095348|0.000103897129453|-0.00504616712156|0.0100645857169|-0.00275975685909|-0.000396388625396|-0.000910098231331|0.00337428166782|-0.00548516678592|-0.00541983112059|-0.00907794024354|-0.00801528110372|0.00115594129083|-0.00695107977766|0.0112679245473|0.00760124785393|-0.0125203712259|-0.00217844134979|-0.00431701362777|0.00832486181848|-0.00811326311639|-0.0208905223771@0.00965778954847
IBM,"April 7, 2017",2,A1,0.00216006186141|-0.00847851977077|-0.00235337379183|-0.00431821172402|0.00847739349532|-0.00526942893759|0.00566192121001|0.002138270444|0.00414275380221|-3.2244609983e-05|-0.00414924001544|0.00430820351861|-0.0085464441041|-0.00403272999438|-0.00864424427273|0.0063512296175|-0.00174749136217|-0.00584211357447|-0.00930184630613|-0.00848512782699|-0.00183390646172|-0.0092741129252|-0.00394515845754|0.00222238691366|0.00172830262269@0.00729391139579
MDRX,"April 12, 2017",5,A1,0.0100987684261|0.024504247213|-0.0185492975157|0.00766757439026|0.0369834590142|-0.0545660988199|-0.002147390583|0.0330105555176|0.0691658073867|-0.0151744710942|-0.00800530429847|0.00191408699563|0.00370298032554|-0.0126554286285|-0.00181882664335|-0.00147093736163|0.00484674475256|-0.00480667397135|-0.00235312394039|-0.000635660769582|-0.0101001386486|-0.00825055394313|-0.0202040272373|-0.0138758503001|0.00157383382652@0.0124223941669
BKS,"April 25, 2016",334|21,A1,-0.0219214857555|-0.023464064757|-0.00879270522683|-0.0162314827486|-0.0128416779788|0.00426488599297|0.00949295752361|-0.000318345874925|-0.015328168832|-0.0119738402078|-0.0199623959253|-0.0152494346519|-1.19713802946e-05|-0.00718027122958|-0.00523987251538|-0.0116953096045|-0.010725962649|-0.0201089760074|-0.00397131746515|-0.0266939227695|-0.0103371607056|-0.013670933968|-0.0248475479823|-0.0212651467667|-0.0200242029713@0.0390304166614
NUVA,"November 9, 2016",63|36,A1,-0.00212533167367|0.0156483310438|-0.00808995855121|0.0116214589359|0.0155728557525|-0.00955756809575|0.00181676016183|0.000626716850568|-0.00972076479588|-0.0174599232446|-0.0958159829833|-0.000988492121227|0.0359147689496|-0.00578157727503|-0.0154392774037|-0.012525759959|0.0311624316167|-0.00652037590313|-0.00311406873689|0.0105000941149|-0.0494599083576|-0.0291461167844|-0.0120847351934|-0.0180576932761|0.0217319558739@0.00757919644774
AAPL,"August 23, 2013",150,A1,0.0117141981897|0.0216339025226|0.0113067566616|-0.000409173651441|0.00217588069592|0.0144250454873|0.0142884519363|7.49405723218e-05|0.00715549390795|-0.00247618823875|-0.0110093873885|0.0265331751956|0.0493896854972|0.0241682775054|0.0147430812324|0.0132754218518|0.0163847383541|-0.0189815413497|0.00806301700296|-0.00544452755517|-0.00272165143774|0.00386713785899|-0.0106879497211|0.0049745407301|-0.00411974909179@0.0118725194363
CSCO,"March 6, 2015",2,A1,0.0107834964857|0.00218172695178|-0.00112713668184|0.00078902554983|-0.0233405557489|0.0806381800691|-0.00708517963404|-0.00624454252974|0.000732573407107|-0.00869185402697|0.00306132983962|-0.00146418612765|0.000323669725527|-0.00845409162837|0.0116290776903|-0.0103146138862|0.0147835192374|-0.017536035411|-0.00681143375874|-0.00534437635498|-0.000966007472364|0.0109114518486|-0.0144169395669|-0.0116730066862|-0.00902998549406@0.00785043847981
AVX,"February 9, 2017",3,A1,0.00563202211612|-0.000359154029814|0.000534019997585|-0.0174007043697|-0.00423185695752|-0.00700061686014|-0.00321439391258|0.000291232892077|0.0172473631693|0.00399504395078|-0.00715345066677|0.000483118013061|-0.0031372494177|-0.00408986114757|-0.00477029697004|-0.00867324128514|0.00510779699651|-0.00114251109254|-0.00775307451447|-0.00875604243681|0.00728929233728|-0.00961771083484|-0.00330305063243|-0.0042430549442|0.00388745038557@0.00755668671442
AAPL,"May 9, 2017",4,A1,-0.00443583697226|-0.00996165297228|0.000998983779813|-0.00016077499731|-0.00709950098822|-0.00300340308247|-0.00356132611964|0.00169281942184|-0.000222186726537|-0.00658099482527|-0.00334701563967|-0.00696495020548|-0.00348402072644|-0.00282257804882|0.0157945158803|0.0015143328753|-0.00527391473472|-0.00694512627748|0.00838646441302|0.0236328558195|0.00561286676248|-0.0093309839014|0.00768995926061|0.011975714782|-0.0107394260968@0.00426767173237
ORCL,"June 6, 2017",91|260|385,A1,ERROR
ADBE,"February 9, 2016",61,A1,0.0159697821552|-0.00919135601269|0.00697906334188|-0.0011896362909|0.011320919434|-0.00577842641309|-0.00589146721602|-0.00641994987876|-0.00106155352029|-0.0265946325137|-0.00304032822817|-0.00667229493812|-0.00314172941317|0.0345899805626|-0.00343766605811|-0.00567684200152|-0.00412489420265|-0.0201319135993|-0.0643738237489|-0.0381572542617|-0.0198713917189|0.0164255838238|-0.00699086949555|0.00849224299512|0.00994997322719@0.0139001379462
BBBY,"December 16, 2015",181,A1,-0.000225916308634|0.00528241120084|-0.00109160604597|-0.00334283336034|-0.00983995633696|0.023373058885|0.0217146610306|0.00793641484841|-0.0105350551884|-0.0200113045705|0.0121297488174|0.00988693457844|0.00324458466132|0.0110884907632|0.00304745404222|0.00212748881045|0.00868445681748|5.55616923495e-05|-0.00861282648185|0.000809324225447|0.00381782097844|-0.0169585997579|-0.00901711126401|-0.000960239905841|0.0111682966271@0.0122156427488
NVO,"June 18, 2013",131,A1,-0.00705578910865|-0.00468159087584|-0.0073132931674|-0.00113168043257|-0.00232139122449|-0.0106749749789|-0.0234812965813|0.000638367845259|-0.0214852795412|-0.000520795137511|0.016826264553|0.00628576702543|-0.000650164349913|-0.0197965920579|0.00397416944467|0.0252267599012|0.01288996278|-0.0145365852971|0.00863481890168|-0.0413262530238|-0.00192204442877|-0.0150379733285|-0.0188303728325|-0.0052073635866|-0.00907114944947@0.0101393324081
AAPL,"May 26, 2016",175,A1,-0.020038241556|-0.00555695254393|-0.0142859470599|0.0225294636059|-0.0044394316319|-0.00789566217152|-0.0113869901417|-0.00342857173609|-0.0129232785826|4.1407295704e-05|-0.0277688775177|0.0116038719626|0.0226834146134|0.00305299482783|0.0114096063698|-0.00422501306753|0.00432010807956|0.014158002429|-0.00185369470982|0.00638886065279|0.00452501755563|-0.00725328979465|-0.00418613653625|-0.0148542436087|-0.0135089914019@0.00748008602583
HPQ,"December 28, 2016",23,A1,0.00362280599946|0.0275477774836|-0.0097799736055|0.000975328524217|0.0166237195926|-0.00380646747795|0.0281759596823|-0.00633567554337|-0.0272468088757|0.0161896691623|-0.00568855935554|-0.00770557314133|-0.012095513986|-0.0318259250987|0.000413789151588|-0.00692249084291|0.00724211216225|0.00554353190869|-0.0102977349124|0.0032620544383|-0.0106829496349|-0.00286121547373|-0.0026168428923|-0.00788618114963|0.00158361549068@0.015556002909
FB,"November 13, 2015",11,A1,0.00765666028361|0.000579726638844|-0.00476575509708|0.00839238279315|0.0112797879988|0.00452058578921|0.00972453372507|-0.00397041580373|-0.0120995738642|0.00964012254601|-0.0307041626031|-0.00650100934432|-0.0122619092039|0.0105346383491|0.0481863191265|-0.0183250995307|0.00367453194724|0.0118850308955|0.0126597669062|0.0033366033413|-0.0247895718576|-0.0128587483273|0.0038067568524|0.00226104279967|-0.0150672932873@0.013109221095
MU,"March 12, 2015",8,A1,0.00298126972265|0.0212550448688|-0.00204270217532|0.0174215590097|0.00518091024088|-0.00246670891712|0.00100075197301|-0.0116521451906|-0.023098337387|-0.000881333183869|0.0178059989582|0.00957403685949|0.0179470916144|-0.0440307157911|0.000267673671092|0.00691434220591|-0.00258965265199|0.00604271396675|-0.002996546757|0.0176208288518|-0.00783391317931|0.0399252457369|-0.0244670312425|-0.0179351491658|0.00318230229112@0.0167499273799
ENR,"January 12, 2015",4,A1,-0.00542066795651|-0.0145021352087|0.00477196818732|0.0213952455422|0.00199456826137|0.00461700163359|-0.00353101120086|-0.00534942060887|0.016345963809|-0.00283138197045|-0.00512392937538|-0.00215394065694|0.000740529880181|-0.0160517393143|-0.000715828579868|-0.00441245053816|-0.00765748126378|-0.00191046020633|0.00772365615145|0.00454429803758|-0.0041506892509|-0.00356313924616|-0.00730670138482|0.0030470751513|0.00144959844071@0.00785391434018
WDC,"January 10, 2014",66,A1,-0.000456808012468|0.00828457250037|-0.000554651652324|0.0218816572611|0.0272489231614|-0.0363859856814|0.000861863550039|-0.00479315586957|-0.0120124727614|-0.00535034994761|0.00905353438318|-0.00772105094141|0.0161277050971|-0.00271770710976|-0.00303909538983|0.00325428226417|-0.00197656465529|0.0297430436777|0.0107721911966|-0.0102968728119|0.0172660153249|0.00760975897217|0.0287729021546|-0.00191327952755|0.0147921740912@0.0146718048416
AMTD,"October 11, 2016",7,A1,0.00797711639432|0.000153703491034|0.0252995842321|5.20172143327e-05|0.00335826046299|-0.00416480957676|-0.0145377832992|-0.00571411503507|-0.0089862102769|-0.00474133775747|-0.00516819569904|-0.0156540137673|0.0559627623475|0.00393922595146|-0.00243175852921|0.00572268427964|0.00753847990405|-0.00946667100421|0.00520919994459|-0.0158287432231|0.00498203395443|-0.00740018016183|0.00980465080581|0.00439718650529|-0.00567706763953@0.0090356842512
BAX,"May 9, 2016",5,A1,0.00695226395546|-0.00515245210666|0.000311566655005|0.00747270758747|0.00315903968309|0.0047366739281|0.00524994481763|-0.00247090446431|-0.000629449089629|0.0105581192651|0.00835083227581|0.00937826105699|0.00510324568072|0.0114951770114|0.0049170703586|0.00338974625178|-1.2401933778e-05|0.0221701806467|0.00330537562975|-0.00805742016079|0.000997725821413|-0.004693044035|0.027586212519|-0.017227821236|0.00588162493638@0.0094073565777
CTXS,"March 19, 2013",6,A1,-0.000715919402595|0.00186478409214|0.00389736900837|0.00369167182105|-0.00907162005185|-0.00868132632337|0.00100446595046|-0.00676938513277|-0.00551321776623|0.027328099227|-0.00830896573434|0.0108393840559|-0.00267490318295|-0.0176318325177|0.0113872626837|-0.00923201899303|0.000246206496895|-0.00192615819936|-0.0108153313848|-0.0232170298643|-0.00890992671308|0.00160128747943|-0.00636579617641|-0.0148689331656|-0.0164673506474@0.0218205951105
TMUS,"September 23, 2016",378|16,A1,0.00227511129949|-0.00882822063026|0.0134481651463|-0.0132432811102|0.00565770533425|-0.00681795166027|0.0186259308271|-0.00812086626321|-0.0131736612929|0.00165694372214|-0.0302941689037|0.0156223196814|-0.008228283779|0.00574270305346|0.0179006249026|-0.0159786154543|-0.0150991338825|-0.0359998122838|0.0236022989773|0.0176532341591|0.00627490030987|-0.00617499245338|-0.00871035088484|-0.00161746482963|-0.000570535724993@0.0083249335251
HPQ,"February 9, 2016",6,A1,-0.0040864814925|0.0221891008904|-0.0185059058189|0.00015327915695|-0.0165054229757|-0.0472006345585|0.0383111411884|0.0331430054933|-0.0222786398143|-0.000320814351194|-0.0111071506486|-0.0265053468677|-0.0443968619683|0.00390883225483|0.0443270231194|0.0181293896623|-0.0372111061477|0.0195168071095|-0.0201081124072|-0.056482173374|-0.0170408395181|0.0224478122016|0.0193696791453|0.000703834407496|0.0452194456438@0.0309604196223
PRKR,"July 31, 2015",373|78,A1,0.0418906147824|0.0382387843283|0.116818548176|-0.1240307216|0.0477007308383|0.0676474796419|0.130581724831|0.0312136121853|0.0966145029721|0.194162639656|0.134652897408|0.0527800971925|0.0639462932106|-0.0361741063725|-0.00711570390339|0.0443682999865|0.0858936276953|0.14360048203|0.159625565689|0.0294186579717|-0.392298860756|-0.109021444188|-0.0634238006976|-0.0274247771426|0.0347291324192@0.0991238029563
HPQ,"July 18, 2013",6,A1,-0.0130782273822|-0.039296460859|-0.034059723107|-0.0486002581974|0.0213825238517|0.013219019746|0.0147835941427|-0.0135941124581|-0.0154924035709|-0.00329767504271|-0.00587059230039|0.00947635928959|-0.0183803569471|0.00812627461307|0.00106600170167|0.00986800990661|-0.0114309689338|-0.0049220329229|-0.00566460859627|-0.00944402463267|0.00329863656675|-0.0489175847391|0.00872235258761|0.00227431067887|0.00824358495205@0.0335332305542
BDC,"November 5, 2015",57|38,A1,0.000272534492277|0.0197359202177|-0.0148527156256|0.00688501776184|0.00201071761255|-0.0027352739935|0.000462337512721|0.00150829184303|0.00392455857064|-0.00476101333138|0.00716183787714|0.0219233758694|0.00130973084257|0.00861415303567|0.170011495858|0.00936801704922|0.0269566303796|-0.028320554484|-0.0273504400434|0.00791849124407|0.0110125918032|0.00347128598855|-0.00599610505015|0.00852602117359|0.0219504345583@0.0157370315119
MMM,"August 6, 2013",-37,A1,0.00370484335746|-0.00128250141406|-0.00700657278894|0.00185622401973|-0.00269896599006|-0.000898505658627|-0.000671902490596|0.00464469901567|0.00497764966155|-0.000882107878627|0.00581283890061|-0.00242491445841|-0.00266828340616|-0.000666882358555|-0.00184512850556|-0.0014558913084|0.00409338545596|-0.00610848432699|-0.00596637788848|-0.00232774407698|0.000860649555656|0.00518669909939|0.00162415613067|-0.00164169278499|0.000769699140419@0.00414593093656
T,"March 19, 2015",106,A1,-0.0110249591614|-0.00738647959851|-0.00698752331456|0.00153426538332|0.00499149545811|0.011896096073|0.000989988031595|-0.000903119313225|-0.00763851863885|-0.00998972662005|-0.00037646691037|-0.00811303280335|-0.00691782257721|-0.00599238927388|-0.00330960025194|0.00825122824424|-0.0080054177367|-0.00352547416675|-0.00186874856381|0.0099544635322|-0.00454855415238|-0.006735246138|0.00218554570855|-0.00100394449567|-0.0128254456429@0.00627324320956
FB,"September 9, 2016",128|471,A1,-0.00599198918957|-0.00153700271079|-0.00816055750499|0.00492216460317|0.00707098121803|-0.00416645651254|-0.00301711417256|0.00192941334653|-0.000923568263015|0.000612477139149|0.00764189676365|0.00894687048481|0.00861492571525|-0.00210046898312|0.00443011567196|-0.00413162192509|-0.000375732151223|0.0174887761086|0.00998628392019|-0.000273097549046|0.0040099888192|-0.0078768770668|0.000422774425837|-0.0013953976242|-0.0100171926344@0.00861329201702
LMT,"August 6, 2014",1,A1,0.000803822845777|0.00941886067795|0.0140818645349|0.00572865851146|0.00991078430722|-0.00902118822845|0.0153911071279|-0.00415743313657|0.00800371703305|0.0253450970388|0.0016122625837|0.0123261832926|0.00874919666029|0.00239449057215|0.00294601344123|0.0059476616312|0.00778300293698|0.00686520268516|-1.22307899126e-05|0.00482298702908|-0.0216834921058|0.00795566215768|0.00550307322|-0.000349341146001|0.00222006852782@0.00590599507167
AAPL,"April 14, 2017",63,A1,ERROR
AMZN,"March 19, 2013",13,A1,0.016943823637|-0.0286162421264|-0.00225969382566|-0.0149436655407|-0.0280802066386|-0.0135045898353|-0.00451616381576|-0.0008962410539|-0.00885618555601|0.0162441899516|-0.00731247134301|0.00834835590602|0.0154459372701|-0.005164848387|-0.0140162684029|0.00849119972296|0.00558213076757|-0.0220554434495|0.00155618676699|-0.015847916544|-0.00339471564237|-0.00319163067077|-0.0119912497866|-0.0113437835384|0.00170090901248@0.0196214646289
MSFT,"October 3, 2013",17,A1,0.00803811765274|0.000321941484641|0.0077632161301|0.025319345029|0.014228748601|-0.000320642197588|0.0104969673424|0.00274333313254|-0.000256528169698|0.00336252653235|0.00304760316164|-0.0193995764665|-0.00436327098701|-0.00776492694856|0.0150387887892|-0.00343616613835|0.0192064753051|0.00367066732182|0.0034838030916|0.0152631005564|0.010322261506|0.00204848087693|-0.00758706490162|0.0161402110601|0.0176929612738@0.0257572653002
BAC,"January 27, 2014",54,A1,-0.00106583757942|-0.00525831139242|-0.00416901133178|-0.00497162092774|0.0408572089167|0.012246345567|0.0160785192885|-0.0142241203014|0.00449223445295|0.0190351460797|0.00373937774295|-0.00890280024768|0.0116166408339|0.00738086904783|0.00701593556136|-0.00300192915067|-0.00950063556366|-0.00289615594176|0.000486606204639|-0.00289750862127|-0.00579770428494|0.0132734650836|0.00563637948671|0.00483917827352|0.00421750173701@0.00702830142752
DAL,"June 24, 2014",14,A1,-0.0121032147177|0.0195022071056|-0.0144621220953|-0.00697388087729|0.0196180686913|0.00737779391836|0.0145511817255|-0.041370594954|0.000985571070566|-0.0221613493121|-0.00079963568257|-0.0254772816129|-0.0496087473499|0.0110585781068|-0.0169774106815|0.00125421724697|-0.00778702078732|-0.00794537640093|-0.00965460290353|-0.0150851972544|-0.0013730848248|0.00427265032371|-0.00292330269626|-0.0101180872764|-0.0233049474504@0.0194206886131
KYO,"February 9, 2015",3,A1,-0.022795678947|0.00955819201867|0.00735190062141|-0.00905474688177|0.0307312302798|-0.0180625558138|-0.00688507787433|-0.00380088416221|-0.00210646686855|-0.0168463679094|0.0115608200975|0.0113331221132|0.0137982226094|-0.0270124003505|0.000439983780824|0.00023172362626|-0.00723181319557|0.0275138734885|-0.011416461016|0.0067750919462|0.00647044355147|-0.00211771046046|0.00553915241104|0.0100230536334|0.0100585532933@0.0125753360029
AAPL,"November 5, 2015",2,A1,-0.0171303603426|0.0158908535633|-0.0117483834653|0.00403602188597|-0.0128317569707|0.000580461040378|-0.0198811940737|0.00128543288996|0.0236124157461|-0.00358352139428|-0.00797096244698|0.0131114065455|-0.0392604086786|-0.0168006394605|0.0383254358386|0.00269010127494|-0.00774455615599|0.0052693266444|0.0103374200925|-0.00319124906475|-0.00374651319482|0.00585806300465|0.00139643066434|-0.034747968763|-0.00928521796912@0.0117845181442
INTC,"August 22, 2014",42,A1,-0.000993099266349|-0.00472781193438|-0.00409491003956|-0.000368522980256|0.000179725417143|-0.0076892678792|-0.00229441255066|-0.0249690502294|0.000267343025639|-0.00689613385187|-0.0178000025851|0.00680036869244|-0.000561621993391|0.0171190762926|-0.013150799614|0.000525012839893|-0.0021846604581|-0.0114371880146|-0.00254433543499|0.0181882693234|-0.0106774732219|-0.0128516825082|-0.00443569686179|-0.00459281943617|-0.00852299443556@0.0137462467038
TXN,"January 8, 2015",10,A1,-0.00920124672507|0.0048047355353|-0.0015565364803|-0.00630966092717|0.00478685914847|-0.00940098700404|-0.0142371089225|-0.0135578332782|-0.0141934206295|0.00216407915903|-0.0127071394408|-0.0029184117106|-0.00977258110722|-0.014362224905|-0.00909240441333|0.00130985078799|-0.000892995692232|0.00831547479707|-0.00277540150228|0.00185307653877|-0.00950178932058|0.011310597622|-0.000820383968599|-0.00820067281598|0.00520242672445@0.0111033185984
WILN,"January 17, 2017",561|148,A1,-0.0243205354922|-0.00725783303934|-0.00295473877905|0.0698804300043|0.0165222214691|0.0617850084577|-0.0125485626049|0.00847683387033|-0.035739634149|0.0234742155397|0.0165931059011|0.0439553035051|0.0186371324868|-8.79726310544e-05|-0.0146471973602|-0.0153516622654|-0.0350217922347|0.00865926143345|-0.00779021822008|-0.00130609144953|0.0229073304684|-0.0341440706919|0.0211271470602|-0.000824866715968|-0.00045620605695@0.0222365455634
AMZN,"November 9, 2015",5,A1,0.0143362098232|0.00975371245663|-0.00246053563948|0.00648330186324|0.00357045849261|-0.00428473884591|-0.0131602336844|-0.00399067426898|-0.00625584085508|0.0379329544376|0.00969019399306|-0.00106278836437|-0.0066289776943|0.0150630490942|-0.00250417543396|-0.0159397762986|-0.0102793394381|0.0230330851876|0.0244137414627|0.00376844721472|0.00364672176411|0.00365247597725|0.0214061138952|0.00156003682081|-0.0206052238511@0.00976246305166
XRX,"July 11, 2014",10,A1,-0.00139820796403|-0.00571864492208|-0.00320583955631|0.00991901378528|-0.0138565615157|-0.0245075646579|-0.0100602175156|0.0125940163502|-0.00265154878135|0.0150468599868|-0.0192458084407|0.0112952755464|-0.00735984465216|-0.0132003523794|-0.00332355488507|0.000476021795434|-0.0150945637678|0.00601244354752|0.015035777334|-0.000594358096377|0.0243914015318|-0.00778350334245|-0.0068492804419|0.010364909957|0.0112779082338@0.0112241849743
USB,"August 7, 2015",2,A1,0.00228247059222|0.00258202864322|-0.00637655266204|0.0469343858466|0.00759408718289|0.0118841765152|0.0133092080709|-0.000411899919329|0.00288607666149|0.00754452186801|0.00887527985382|-0.00128106786975|-0.0100408279349|-0.00430123953754|0.00164625353332|0.00970368221351|0.00615884302569|0.00643684021848|0.00625330687204|-0.0131355464074|0.00955488652581|-0.00288508820028|-0.00696795284158|-0.00800798696049|0.00949975398147@0.00576373311424
BDSI,"August 10, 2016",7,A1,-0.0911090756701|-0.0200255594194|0.0077718533079|-0.0492542075815|-0.0652264314014|0.0549770682226|-0.0331922803028|-0.0153690223617|-0.0234291903485|-0.0211942691042|-0.0190269378774|0.026342896112|0.0738193485013|-0.0464196280523|-0.0125320420484|0.0136466179182|-0.00947951309983|-0.0265863692719|-0.0469281911961|0.044477952986|-0.0125492794126|0.0612224715297|0.0603365715959|-0.00137367724181|-0.0176974887113@0.0409558290128
COF,"September 4, 2015",122,A1,-0.00231433035529|0.00355757130766|-0.0143626829613|-0.00484235408133|-6.20467419224e-07|-0.00119054081651|0.00157869910045|-0.0064030449252|-0.00736843130575|0.00264825233334|-0.000717322697833|-0.00336125270481|-0.00413821224936|-0.00514562923679|0.00533923557827|-0.0024477818591|0.00698038495607|-0.016445260122|-0.00282089142349|0.00403210279356|-0.00169348941281|0.00114943695971|-0.00134138395479|-0.00550214374729|-0.00678447039408@0.00407682771621
FLIR,"January 10, 2017",1|396,A1,-0.00306667909205|0.000243506957686|-0.00447660570745|-0.00738628545674|0.000512137124719|-0.00334205486939|-0.00575002706014|-0.00737275772525|-0.0089397755581|-0.00779314405016|0.0177289566184|-0.00123176150813|-0.0102100190945|0.00412049491335|-0.00622844502883|-0.0116826807805|0.00873300359061|0.00252212871002|-0.0149087949826|0.0036287469664|-0.00635871349612|-0.0119614906316|0.000938969155554|0.00112565479725|-0.0048091143396@0.0195077794466
MSFT,"January 18, 2017",5,A1,-0.0118947111602|0.0162907937292|-0.000352025679401|-0.0010415740446|-0.00185351912167|-0.015058635766|-0.00412914913391|-0.000860022921947|-0.00850372140301|-0.00984719695085|-0.00671425158765|-0.0150795646332|-0.0172832616708|-0.00673031786035|-0.0187074831024|0.00398202982854|0.00544326250765|-0.025038648522|-0.00537412260328|-0.0142428059304|-0.00433453250173|-0.00764834338058|0.000514985117036|-0.00308862515545|0.0073053493226@0.00943610341965
CELG,"July 14, 2016",6,A1,-0.0095134350773|-0.00741958893568|0.00162240462312|-0.00238439490788|-0.0224595393284|0.0268218858561|0.00287518336729|-0.0124840029019|-0.000649274362786|0.00318122543676|-0.00832372227027|-0.0129722722682|0.0133659319631|-0.0149808837137|0.0331202713918|-0.00384476726092|-0.00722116266783|-0.0157593828083|0.0060380093507|-0.00996697323578|-0.00460125746916|0.0156033354022|-0.00645396093449|-0.00249936777604|0.00483509667736@0.0137378825591
NUVA,"December 7, 2016",64,A1,0.00594082509725|-0.0291727269469|-0.00400807990815|0.012747511096|-0.000670748564145|0.0131752907625|0.000134853431985|0.0203170488588|0.0063457359136|-0.0168378208911|-0.0214366210246|0.0031248702715|-0.00027246402725|0.0135073578076|0.018092982269|0.0119604960119|-0.00242841854661|-0.00226259497045|0.0233717759054|0.003563367207|-0.0127264011536|0.0127956925237|-0.0094568803429|-0.00173544304637|-0.0118881528857@0.00799979877204
MSFT,"July 11, 2016",3,A1,0.00993700262525|-0.0155449816017|-0.00190299822445|0.00531484409118|-0.000195249895852|0.00863675853268|-0.000851669900359|0.0109785871654|-0.00454201981295|0.00570594932322|0.0240274767289|-0.0131197892458|-0.018637752796|-0.00633292076227|-0.0019434269255|0.00459334996173|-0.00781776227544|-0.00351896824444|0.0066895269173|0.0102611781746|0.0139604848261|0.0210211298291|0.00186069557595|-0.00842648221172|0.00832150184365@0.0143005105823
MSFT,"February 17, 2016",42,A1,-0.0179257273479|0.0212618258397|-0.0154793056562|0.0129409767517|-0.000639826770981|-0.000257399151834|-0.00304354227411|0.0131995570529|0.034299659609|-0.0151014197337|-0.0147925363719|-0.0228881104409|-0.00477716476047|-0.0155316639997|0.00356274708979|-0.00876762840963|0.00314191812619|0.00586526234193|-0.00467434569256|-0.000600788773192|0.0015943797409|-9.33854758931e-05|-0.00974477531798|-0.00185800072328|-0.0164959037773@0.00568712862864
CSCO,"August 22, 2014",42,A1,0.00985113830695|-0.00284023866992|-0.00154001100732|-0.00261761533114|0.00555643284269|-0.00619715363874|-0.00102651721573|0.00426778757454|-0.00037894604923|0.00285406807954|-0.00601614111134|0.00608876071979|-0.00290463228964|-0.00564942000178|-0.0321239676622|-0.0048705010495|0.000475117171545|-0.00525063422579|-0.00166346665794|0.00348343001801|-0.0071836556442|-0.00424223437931|0.00525554811043|-0.00123171027802|0.00255417475578@0.00540054139284
ALGN,"July 18, 2014",99,A1,0.00439424970102|-0.00026736791874|0.003501840284|0.0200060713194|0.0119755874726|0.0222941297667|0.0132604132689|-0.00760500488978|0.00530002316216|-0.0077508924003|-0.00696014922241|0.000791492513341|0.00220206226747|-0.00882068090951|0.00154718067312|-0.00897054916713|-0.00565589668176|0.00451061051385|-0.00330135835451|-0.00490398916251|-0.0199599679362|-0.01219487005|0.00664478352718|0.00380891725828|0.00215601554057@0.0162205562467
SNPS,"April 24, 2017",19|354,A1,-0.00600340882306|-0.0039101969742|0.00205022721217|-0.00334808344424|-0.0115704223566|-0.00904754009828|0.00171404060083|-0.00970464564348|-0.00799334463379|-0.0152943733391|-0.00558555027773|-0.00993714108716|-0.0124449383849|-0.00554952382465|-0.00339767776046|-0.00589842119049|-0.00037953550981|-0.00315383823341|-0.00676010814844|-0.00706196783536|0.00780758965878|-0.0156935841853|-0.0130744304196|0.00323832172743|0.00054213102544@0.0140495019677
NTAP,"June 6, 2017",91|385,A1,ERROR
HPE,"March 14, 2017",4,A1,0.00686578345307|0.00197113430731|0.00833948370458|0.0018720678133|0.00473988971459|0.00932124179071|0.0102398776874|0.00324026892434|-0.0688817002881|-0.03561459254|0.0377291165219|0.00635680916206|0.00240968941623|0.00811996616744|0.00813441017518|-0.00410701553153|-0.0029699102008|0.000478271387896|-0.00317252730377|-0.000519267106831|0.00197896902313|0.0132526651303|-0.00425494997604|0.0067189387298|0.0100656396251@0.00818359812949
NFLX,"February 26, 2014",50,A1,0.0684397469828|-0.0207347745063|0.0217301557799|0.0158268620982|-0.0223059082096|0.00991909226449|-0.00324772643102|0.0146266302673|0.0706505079902|0.00860953849256|0.0117284180461|-0.0103326536278|0.0194113126231|-0.00273228451505|0.00312963693764|-0.0147602257378|0.018814034392|-0.00713248452121|0.0327334066137|0.0222039210909|-0.0103293586858|0.0103638358812|-0.0211769081746|-0.00506026711023|0.0251121358584@0.0164743532605
WILN,"August 1, 2014",22,A1,0.0029232101808|-0.00046809706618|0.0167631212903|-0.00674058040345|0.0147114615263|-0.00726395162642|-0.00730752423984|0.000582006923799|0.00111945284696|0.0284342793151|-0.00973263148337|0.00961629281099|0.0012724571271|0.000391604626853|-0.00619370386556|0.00870665912668|0.00637568538713|0.0282959077519|0.0293999328274|0.0481944781821|0.0106194994514|0.0441901551738|-0.0124364370977|0.0368344392664|0.0236632767158@0.0191550974992
HON,"February 12, 2014",156,A1,-0.00764761976176|-0.00216185781732|0.0066660898544|0.00443406501237|0.00366797588365|0.00286011901664|0.000744897203494|0.0143089331185|0.0267079317808|-0.00783717975185|0.00581445846506|0.00740665212471|0.00646208608987|0.004829796668|0.00134086291155|8.7272802489e-05|-0.000900928084342|0.00709083182532|-0.00286628778085|-0.00225549704848|0.000788684270566|-0.0060248994977|-0.00683294228671|-0.0042464306189|-0.00247392666796@0.00411583753214
