Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0
FLIR,"January 10, 2017",1
SSNI,"February 29, 2016",0
ILMN,"July 26, 2016",1
ATRS,"November 17, 2014",1
AMZN,"April 14, 2015",1
NOK,"November 18, 2013",0
FDS,"January 27, 2014",1
NOK,"September 16, 2014",0
NOK,"August 5, 2016",0
ABT,"April 21, 2014",0
CTAA,"February 12, 2015",0
MNTA,"November 10, 2015",0
NUVA,"November 9, 2016",0
IBM,"May 26, 2017",1
BAX,"July 2, 2013",0
FB,"June 6, 2016",1
HPQ,"April 25, 2016",1
LKQ,"February 18, 2015",1
LEA,"December 20, 2016",1
AMZN,"September 23, 2016",1
RHT,"July 9, 2015",1
TDC,"December 19, 2014",0
INTC,"August 13, 2015",0
NTAP,"November 16, 2015",0
PIR,"November 7, 2013",1
AAPL,"December 16, 2015",0
MU,"March 12, 2015",1
MU,"August 19, 2016",0
ORCL,"November 17, 2016",0
FB,"February 25, 2016",1
NOK,"February 18, 2015",1
RCII,"April 25, 2016",1
MSFT,"May 9, 2016",1
AAPL,"April 25, 2016",1
BKS,"December 30, 2014",1
CSCO,"November 16, 2015",0
PHG,"May 10, 2013",1
CSCO,"August 15, 2014",0
TXN,"August 13, 2015",0
AAPL,"February 17, 2017",1
BMRN,"April 25, 2017",0
PFE,"July 9, 2015",1
DEPO,"February 21, 2017",1
HPQ,"May 26, 2016",1
HPQ,"March 19, 2013",1
WILN,"January 8, 2016",0
CTXS,"April 11, 2013",1
COF,"July 6, 2015",1
LPL,"September 15, 2015",1
IDCC,"February 12, 2016",0
CRM,"July 10, 2014",0
RHT,"December 16, 2015",0
MSFT,"May 1, 2013",0
ABBV,"August 21, 2014",1
INTC,"March 9, 2015",1
CTXS,"March 19, 2013",1
JNJ,"April 4, 2013",0
TXN,"April 25, 2016",1
AAPL,"July 11, 2016",1
MSFT,"October 3, 2013",0
IGT,"March 13, 2013",0
CBSH,"March 27, 2017",0
ZNGA,"November 16, 2015",0
IPXL,"February 1, 2013",1
BBBY,"December 16, 2015",1
CAR,"February 26, 2014",1
AAPL,"April 14, 2017",1
ATHN,"April 12, 2017",1
SHLD,"April 10, 2015",0
CME,"April 14, 2015",1
AAPL,"January 27, 2017",1
DAL,"June 24, 2014",1
KODK,"December 21, 2016",1
IDT,"May 20, 2013",0
BMY,"June 12, 2014",1
AGYS,"November 29, 2016",0
FISV,"October 13, 2016",0
FB,"May 17, 2016",1
BMRN,"June 14, 2016",1
ADBE,"April 8, 2016",1
HLIT,"January 29, 2016",0
ADSK,"April 12, 2016",1
AMZN,"November 26, 2014",1
NVTA,"June 12, 2015",1
INTC,"April 25, 2016",1
INTC,"June 6, 2014",1
AAPL,"October 7, 2016",1
INTC,"July 7, 2014",1
AAPL,"February 7, 2017",0
ABT,"March 20, 2013",1
TWTR,"May 10, 2013",1
POWI,"December 12, 2016",0
PFE,"July 8, 2015",1
VAR,"March 16, 2017",0
BDX,"July 7, 2014",1
LLNW,"September 17, 2015",0
HPQ,"August 10, 2015",1
LLNW,"February 7, 2017",0
NVDA,"March 15, 2017",1
SYMC,"September 30, 2016",0
BDC,"November 5, 2015",0
YHOO,"January 13, 2017",1
IDCC,"January 13, 2016",1
MNTA,"June 18, 2015",0
F,"September 14, 2015",1
AET,"January 18, 2017",1
HPQ,"September 14, 2015",1
IBM,"October 2, 2013",0
SNA,"October 14, 2014",1
NVS,"June 18, 2015",0
TWTR,"August 30, 2013",1
AMPH,"November 10, 2015",0
AAPL,"September 16, 2014",0
BGCA,"May 10, 2013",1
NUVA,"December 7, 2016",0
ALNY,"March 23, 2017",1
RTEC,"November 4, 2013",0
AAPL,"March 17, 2015",0
CSCO,"October 2, 2013",0
V,"August 13, 2014",1
HON,"February 5, 2013",0
TXN,"January 8, 2015",1
ADI,"August 13, 2015",0
ACOR,"March 18, 2016",1
LLNW,"February 15, 2017",0
XLNX,"September 17, 2015",0
MSFT,"June 16, 2015",0
MSFT,"April 1, 2016",0
MSFT,"April 1, 2016",1
AXP,"February 12, 2013",1
CAMT,"November 18, 2013",0
HPQ,"November 16, 2015",0
AMZN,"February 10, 2017",1
AAPL,"January 8, 2016",0
NTGR,"March 16, 2017",0
JCOM,"March 29, 2017",0
FDX,"May 9, 2017",1
LLNW,"July 9, 2015",1
JAKK,"June 11, 2014",1
AAPL,"November 8, 2016",1
XLNX,"February 1, 2016",1
AKRX,"March 17, 2017",0
AVID,"March 1, 2016",1
MDCO,"April 6, 2017",0
MSFT,"February 17, 2016",1
NVDA,"April 25, 2016",1
NUVA,"February 7, 2017",0
NOK,"November 26, 2014",1
INTU,"May 10, 2013",1
ILMN,"July 17, 2015",1
BSX,"February 12, 2013",1
CTXS,"July 15, 2015",1
LPL,"September 14, 2015",1
RPRX,"January 7, 2016",1
NTRA,"June 12, 2015",1
AAPL,"December 3, 2015",0
CROX,"February 7, 2017",0
PLT,"July 31, 2013",0
F,"March 27, 2017",1
NATI,"August 11, 2014",1
CTXS,"October 14, 2014",0
SBUX,"January 5, 2015",1
AAPL,"February 14, 2017",0
HPQ,"March 16, 2017",0
ST,"April 4, 2017",0
MMM,"August 6, 2013",0
LLNW,"February 1, 2016",1
NTGR,"December 28, 2016",1
TWTR,"February 26, 2014",1
TGT,"February 10, 2016",1
WMT,"July 30, 2015",0
MMM,"July 9, 2015",1
WILN,"August 1, 2016",1
BBY,"January 15, 2014",1
INTC,"June 23, 2015",1
IBM,"May 10, 2013",1
AMZN,"January 10, 2014",1
SHPG,"October 13, 2016",1
EA,"September 13, 2016",0
SQ,"October 16, 2015",1
SNPS,"February 10, 2016",0
SNPS,"February 10, 2016",1
SNPS,"March 12, 2013",1
SBH,"April 25, 2016",1
YHOO,"February 26, 2014",1
AVP,"February 12, 2015",0
FB,"May 10, 2013",1
NFLX,"February 26, 2014",1
ITGR,"February 9, 2017",1
MSFT,"December 16, 2015",0
F,"August 12, 2015",0
AMD,"January 14, 2014",1
CLCT,"March 11, 2016",1
AVX,"February 9, 2017",1
ADSK,"March 15, 2017",1
XRX,"July 11, 2014",1
DPS,"July 10, 2014",0
ACTG,"December 3, 2013",1
MSFT,"December 4, 2014",1
NVDA,"February 8, 2013",1
ODP,"June 30, 2015",1
SNPS,"October 17, 2016",1
BDC,"April 17, 2015",1
BAX,"May 9, 2016",1
GE,"July 8, 2015",1
CSCO,"January 21, 2015",1
JKHY,"October 13, 2016",0
PFE,"January 13, 2016",1
ORCL,"April 3, 2015",0
USB,"February 21, 2017",0
MT,"May 16, 2017",1
PANW,"May 4, 2017",1
CPIX,"January 26, 2017",1
FB,"November 16, 2015",0
CENT,"February 29, 2016",0
JNJ,"January 14, 2014",1
ABT,"June 26, 2013",1
AMZN,"December 30, 2014",1
GRMN,"August 8, 2016",1
ALG,"May 26, 2016",1
CELG,"June 17, 2015",1
HPQ,"December 3, 2015",0
NVO,"June 18, 2013",0
GRPN,"March 1, 2016",0
XLNX,"April 12, 2017",1
GMED,"October 19, 2015",1
TMUS,"September 23, 2016",1
EA,"December 7, 2016",1
MSFT,"May 22, 2015",1
MSFT,"November 30, 2016",1
BELFA,"December 16, 2015",1
QTM,"June 6, 2017",1
INTC,"January 8, 2016",1
LLY,"January 13, 2016",1
ATHN,"March 10, 2017",1
MSFT,"January 18, 2017",1
AAPL,"July 17, 2014",1
MYGN,"November 16, 2015",0
XLNX,"July 9, 2015",1
HPQ,"August 4, 2015",0
SFLY,"May 17, 2016",1
NWY,"April 25, 2016",1
CSCO,"June 16, 2015",0
XRX,"February 13, 2017",1
HPQ,"December 28, 2016",1
JNJ,"July 9, 2015",1
CSCO,"August 18, 2016",0
SUPN,"August 7, 2013",0
AAPL,"September 10, 2014",0
ADBE,"March 14, 2016",1
GE,"July 9, 2015",1
AAPL,"August 10, 2016",0
HPQ,"February 9, 2016",1
ODP,"July 31, 2015",0
MSFT,"September 14, 2015",1
NOK,"January 10, 2014",1
HPQ,"December 4, 2014",0
CTXS,"June 16, 2015",0
RHT,"November 14, 2014",1
RTEC,"November 18, 2013",0
KMB,"July 10, 2014",1
KMB,"July 10, 2014",0
F,"April 21, 2017",1
T,"July 31, 2015",0
PKI,"July 31, 2015",0
NTGR,"December 4, 2014",0
AKAM,"November 16, 2015",0
SHLD,"September 11, 2013",0
FDC,"July 31, 2015",0
BBY,"September 6, 2013",0
EBAY,"November 16, 2015",0
TEX,"December 3, 2014",1
ENR,"January 12, 2015",1
WMT,"April 16, 2013",1
AAPL,"May 9, 2017",1
AAPL,"December 15, 2015",1
F,"March 7, 2017",0
AMGN,"July 21, 2015",0
CSCO,"June 15, 2015",1
BKS,"May 13, 2013",1
LB,"February 12, 2016",0
DAL,"April 26, 2013",1
HPQ,"March 14, 2017",1
GRPN,"February 26, 2014",1
IPXL,"August 7, 2013",0
BSX,"June 26, 2013",1
MOD,"June 10, 2014",1
NVS,"April 4, 2017",1
CBS,"September 30, 2016",1
SUPN,"June 18, 2012",1
POWI,"March 26, 2013",0
CSCO,"August 8, 2014",1
MMM,"July 8, 2015",1
COF,"March 7, 2017",1
MSFT,"November 6, 2014",1
CTXS,"April 7, 2017",1
YHOO,"November 16, 2015",0
ODP,"March 19, 2013",1
CSCO,"June 23, 2015",1
USB,"August 7, 2015",1
GEVO,"February 10, 2016",1
AAPL,"December 11, 2014",1
EBAY,"February 7, 2017",0
GILD,"December 8, 2014",1
YHOO,"September 10, 2014",0
GE,"February 21, 2017",0
CSCO,"August 22, 2014",1
LLY,"February 28, 2017",0
ADBE,"February 9, 2016",1
FB,"July 9, 2015",1
ACTG,"September 12, 2016",1
CALL,"April 6, 2017",1
TGT,"August 15, 2014",0
CSCO,"December 4, 2014",0
PFE,"April 9, 2015",1
AMTD,"August 30, 2013",0
MRVL,"August 4, 2015",0
MSFT,"May 12, 2016",0
EBAY,"November 21, 2016",0
MSTR,"March 12, 2015",1
BAC,"July 10, 2014",0
ITW,"July 9, 2015",1
FB,"January 7, 2016",1
MU,"May 9, 2017",1
ORCL,"October 2, 2013",0
MSI,"March 6, 2015",1
AAPL,"November 9, 2015",1
YHOO,"June 23, 2015",1
MS,"January 27, 2014",1
YHOO,"May 17, 2016",1
SYK,"September 12, 2016",0
NUAN,"February 22, 2016",1
NKE,"February 11, 2016",0
BBBY,"January 24, 2017",1
AAPL,"August 23, 2013",0
V,"February 9, 2016",1
NFLX,"September 14, 2015",1
FB,"July 16, 2014",1
GRPN,"February 17, 2017",1
CDW,"June 30, 2015",1
LPL,"June 23, 2014",1
PRGO,"August 15, 2014",1
HPQ,"December 2, 2015",1
INTC,"September 30, 2016",0
FB,"February 17, 2017",1
NTAP,"May 9, 2014",0
HPE,"August 9, 2016",1
MYGN,"December 17, 2014",0
SATS,"December 22, 2015",0
LLNW,"April 27, 2015",0
XLNX,"August 4, 2015",0
LLY,"July 1, 2014",1
DE,"May 26, 2016",1
EA,"March 17, 2015",1
CSCO,"April 27, 2015",0
AMZN,"June 23, 2015",1
SNPS,"October 11, 2016",1
CSCO,"September 23, 2016",0
CGNX,"December 16, 2013",1
CME,"January 27, 2014",1
XLNX,"February 15, 2017",0
YHOO,"May 31, 2016",0
NTIP,"July 11, 2016",1
IBM,"February 8, 2016",1
AAPL,"November 18, 2013",0
F,"March 7, 2017",1
ITW,"July 8, 2015",1
XLNX,"October 9, 2015",1
RHT,"May 10, 2013",1
T,"March 19, 2015",1
NTAP,"June 6, 2017",1
PRKR,"July 31, 2015",0
CBSH,"December 9, 2016",1
CSCO,"May 31, 2016",1
LLY,"February 28, 2017",1
INTC,"February 12, 2016",0
BAC,"January 27, 2014",1
EBAY,"December 16, 2015",0
NTAP,"October 9, 2015",1
NFLX,"November 7, 2016",1
CTAA,"November 25, 2013",0
ADBE,"September 14, 2015",1
LLNW,"November 12, 2015",1
INTU,"May 12, 2016",0
BKS,"December 17, 2015",1
OSTK,"July 11, 2014",0
OSTK,"July 11, 2014",1
SEAC,"October 10, 2013",1
